"Class","Index","Stressor","n","Slope","L90","U90","Power","Do linear models provide evidence of index responsiveness to stress?"
"Soft bottom-0 hard sides","ASCI_D","DO",21,0.006,-0.018,0.029,0.6,"Insufficient data"
"Soft bottom-0 hard sides","ASCI_D","PCT_SAFN",28,0,0,0,1,"Yes"
"Soft bottom-0 hard sides","ASCI_H","TN",37,-0.003,-0.006,0,1,"Yes"
"Soft bottom-0 hard sides","ASCI_H","TP",32,-0.048,-0.096,0,1,"Yes"
"Soft bottom-0 hard sides","ASCI_H","Chla",22,0,0,0,0.65,"Insufficient data"
"Soft bottom-0 hard sides","ASCI_H","AFDM",25,0,0,0,1,"No"
"Soft bottom-0 hard sides","ASCI_H","PCT_MAP",26,0,0,0,1,"No"
"Soft bottom-0 hard sides","ASCI_H","SpCond",21,0,0,0,1,"No"
"Soft bottom-0 hard sides","ASCI_H","Temp",21,0.002,-0.028,0.032,0.13,"Insufficient data"
"Soft bottom-0 hard sides","ASCI_H","DO",21,0.003,-0.025,0.031,0.21,"Insufficient data"
"Soft bottom-0 hard sides","ASCI_H","PCT_SAFN",28,0,0,0,1,"Yes"
"Soft bottom-0 hard sides","CSCI","TN",40,-0.002,-0.004,0.001,1,"No"
"Soft bottom-0 hard sides","CSCI","TP",34,0.017,-0.03,0.063,0.97,"No"
"Soft bottom-0 hard sides","CSCI","Chla",24,0,0,0,1,"Yes"
"Soft bottom-0 hard sides","CSCI","AFDM",27,0,0,0,1,"No"
"Soft bottom-0 hard sides","CSCI","PCT_MAP",27,0,0,0,1,"No"
"Soft bottom-0 hard sides","CSCI","SpCond",22,0,0,0,1,"Yes"
"Soft bottom-0 hard sides","CSCI","Temp",22,0.019,-0.007,0.044,1,"No"
"Soft bottom-0 hard sides","CSCI","DO",22,0.005,-0.021,0.03,0.4,"Insufficient data"
"Soft bottom-0 hard sides","CSCI","PCT_SAFN",36,0,0,0,1,"Yes"
"Soft bottom-1 hard side","ASCI_D","TN",31,-0.039,-0.056,-0.021,1,"Yes"
"Soft bottom-1 hard side","ASCI_D","TP",22,-0.098,-0.156,-0.04,1,"Yes"
"Soft bottom-1 hard side","ASCI_D","PCT_MAP",20,0,0,0,0.16,"Insufficient data"
"Soft bottom-1 hard side","ASCI_D","SpCond",22,0,0,0,0.99,"No"
"Soft bottom-1 hard side","ASCI_D","Temp",22,-0.017,-0.036,0.002,1,"No"
"Soft bottom-1 hard side","ASCI_D","DO",22,0.011,-0.037,0.059,0.55,"Insufficient data"
"Soft bottom-1 hard side","ASCI_D","PCT_SAFN",22,0,0,0,1,"Yes"
"Soft bottom-1 hard side","ASCI_H","TN",29,-0.045,-0.065,-0.026,1,"Yes"
"Soft bottom-1 hard side","ASCI_H","TP",21,-0.099,-0.155,-0.043,1,"Yes"
"Soft bottom-1 hard side","ASCI_H","PCT_MAP",20,0,0,0,0.1,"Insufficient data"
"Soft bottom-1 hard side","ASCI_H","SpCond",21,0,0,0,1,"No"
"Soft bottom-1 hard side","ASCI_H","Temp",21,-0.02,-0.037,-0.002,1,"Yes"
"Soft bottom-1 hard side","ASCI_H","DO",21,0.01,-0.038,0.057,0.46,"Insufficient data"
"Soft bottom-1 hard side","ASCI_H","PCT_SAFN",22,0,0,0,1,"No"
"Soft bottom-1 hard side","CSCI","TN",36,-0.008,-0.013,-0.003,1,"Yes"
"Soft bottom-1 hard side","CSCI","TP",27,-0.023,-0.1,0.054,0.84,"No"
"Soft bottom-1 hard side","CSCI","PCT_MAP",22,0,0,0,0.5,"Insufficient data"
"Soft bottom-1 hard side","CSCI","SpCond",24,0,0,0,1,"Yes"
"Soft bottom-1 hard side","CSCI","Temp",24,-0.018,-0.034,-0.002,1,"Yes"
"Soft bottom-1 hard side","CSCI","DO",24,0.05,0.013,0.086,1,"Yes"
"Soft bottom-1 hard side","CSCI","PCT_SAFN",29,0,0,0,1,"Yes"
"Soft bottom-2 hard sides","ASCI_D","TN",39,0.001,-0.012,0.013,0.18,"Insufficient data"
"Soft bottom-2 hard sides","ASCI_D","TP",26,-0.054,-0.188,0.08,0.96,"No"
"Soft bottom-2 hard sides","ASCI_D","PCT_MAP",43,0,0,0,0.13,"Insufficient data"
"Soft bottom-2 hard sides","ASCI_D","SpCond",34,0,0,0,0.14,"Insufficient data"
"Soft bottom-2 hard sides","ASCI_D","Temp",33,0.017,0.002,0.032,1,"No"
"Soft bottom-2 hard sides","ASCI_D","DO",33,0.001,-0.014,0.016,0.14,"Insufficient data"
"Soft bottom-2 hard sides","ASCI_D","PCT_SAFN",44,0,0,0,1,"No"
"Soft bottom-2 hard sides","ASCI_H","TN",39,0.001,-0.011,0.014,0.32,"Insufficient data"
"Soft bottom-2 hard sides","ASCI_H","TP",26,-0.066,-0.2,0.069,0.99,"No"
"Soft bottom-2 hard sides","ASCI_H","PCT_MAP",43,0,0,0,1,"No"
"Soft bottom-2 hard sides","ASCI_H","SpCond",33,0,0,0,0.19,"Insufficient data"
"Soft bottom-2 hard sides","ASCI_H","Temp",32,0.024,0.009,0.038,1,"No"
"Soft bottom-2 hard sides","ASCI_H","DO",32,-0.002,-0.016,0.013,0.28,"Insufficient data"
"Soft bottom-2 hard sides","ASCI_H","PCT_SAFN",44,0,0,0,0.41,"Insufficient data"
"Soft bottom-2 hard sides","CSCI","TN",40,0.013,0.003,0.023,1,"No"
"Soft bottom-2 hard sides","CSCI","TP",27,-0.015,-0.125,0.095,0.32,"Insufficient data"
"Soft bottom-2 hard sides","CSCI","Chla",20,0,0,0,1,"Yes"
"Soft bottom-2 hard sides","CSCI","AFDM",20,0,0,0,1,"Yes"
"Soft bottom-2 hard sides","CSCI","PCT_MAP",43,0,0,0,0.99,"No"
"Soft bottom-2 hard sides","CSCI","SpCond",37,0,0,0,1,"No"
"Soft bottom-2 hard sides","CSCI","Temp",36,-0.014,-0.029,0.001,1,"No"
"Soft bottom-2 hard sides","CSCI","DO",36,-0.01,-0.023,0.004,1,"No"
"Soft bottom-2 hard sides","CSCI","PCT_SAFN",49,0,0,0,0.85,"No"
