"Class","Class_fullname","Approach","Response_model_form","Response_model_index","Response_model_goal","Response_model_detail","Details","Stringency","Indicator_Type","Indicator","Threshold_value","Flag"
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",0.76,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_H",0.6,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_H",0.97,"Biointegrity goal is higher than reference."
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",0.86,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_H",0.67,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_H",0.94,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",0.79,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_H",0.64,""
"CC","Constructed channel","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_H",,"Insufficient data"
"CC","Constructed channel","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",,"Insufficient data"
"CC","Constructed channel","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_H",,"Insufficient data"
"SB0_CVF","Soft bottom engineered channel, no hardened sides (Central Valley Floor)","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_H",0.74,""
"SB0_CVF","Soft bottom engineered channel, no hardened sides (Central Valley Floor)","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",0.73,""
"SB0_CVF","Soft bottom engineered channel, no hardened sides (Central Valley Floor)","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_H",0.72,""
"HB_CVF","Hard bottom (Central Valley Floor)","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_H",0.95,"Biointegrity goal is higher than reference."
"HB_CVF","Hard bottom (Central Valley Floor)","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",0.93,"Biointegrity goal is higher than reference."
"HB_CVF","Hard bottom (Central Valley Floor)","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_H",0.8,"Biointegrity goal is higher than reference."
"CC_CVF","Constructed channel (Central Valley Floor)","Best observed","","",,"","99th percentile of observed values","High","Biointegrity","ASCI_H",,"Insufficient data"
"CC_CVF","Constructed channel (Central Valley Floor)","Best observed","","",,"","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",,"Insufficient data"
"CC_CVF","Constructed channel (Central Valley Floor)","Best observed","","",,"","70th percentile of observed values","Low","Biointegrity","ASCI_H",,"Insufficient data"
"Wadeable streams","Wadeable streams","Reference","","",,"","70th percentile of reference values","High","Eutrophication","TN",0.131,""
"Wadeable streams","Wadeable streams","Reference","","",,"","90th percentile of reference values","Intermediate","Eutrophication","TN",0.233,""
"Wadeable streams","Wadeable streams","Reference","","",,"","99th percentile of reference values","Low","Eutrophication","TN",1.639,""
"RFI-N","Intermittent northern California","Reference","","",,"","70th percentile of reference values","High","Eutrophication","TN",0.399,""
"RFI-N","Intermittent northern California","Reference","","",,"","90th percentile of reference values","Intermediate","Eutrophication","TN",0.609,""
"RFI-N","Intermittent northern California","Reference","","",,"","99th percentile of reference values","Low","Eutrophication","TN",2.131,""
"RFI-S","Intermittent southern California","Reference","","",,"","70th percentile of reference values","High","Eutrophication","TN",0.254,""
"RFI-S","Intermittent southern California","Reference","","",,"","90th percentile of reference values","Intermediate","Eutrophication","TN",0.351,""
"RFI-S","Intermittent southern California","Reference","","",,"","99th percentile of reference values","Low","Eutrophication","TN",0.558,""
"CVF","Central Valley Floor","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","TN",0.037,""
"CVF","Central Valley Floor","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","TN",0.143,""
"CVF","Central Valley Floor","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","TN",0.32,""
"HB","Hard bottom","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","TN",0.029,""
"HB","Hard bottom","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","TN",0.43,""
"HB","Hard bottom","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","TN",1.109,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","TN",0.163,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","TN",0.436,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","TN",0.924,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","TN",0,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","TN",0.261,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","TN",0.379,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","TN",0.341,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","TN",0.497,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","TN",0.781,""
"CC","Constructed channel","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","TN",,"Insufficient data"
"CC","Constructed channel","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","TN",,"Insufficient data"
"CC","Constructed channel","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","TN",,"Insufficient data"
"Wadeable streams","Wadeable streams","Reference","","",,"","70th percentile of reference values","High","Eutrophication","TP",0.024,""
"Wadeable streams","Wadeable streams","Reference","","",,"","90th percentile of reference values","Intermediate","Eutrophication","TP",0.058,""
"Wadeable streams","Wadeable streams","Reference","","",,"","99th percentile of reference values","Low","Eutrophication","TP",0.202,""
"RFI-N","Intermittent northern California","Reference","","",,"","70th percentile of reference values","High","Eutrophication","TP",0.185,""
"RFI-N","Intermittent northern California","Reference","","",,"","90th percentile of reference values","Intermediate","Eutrophication","TP",0.479,""
"RFI-N","Intermittent northern California","Reference","","",,"","99th percentile of reference values","Low","Eutrophication","TP",0.545,""
"RFI-S","Intermittent southern California","Reference","","",,"","70th percentile of reference values","High","Eutrophication","TP",0.055,""
"RFI-S","Intermittent southern California","Reference","","",,"","90th percentile of reference values","Intermediate","Eutrophication","TP",0.175,""
"RFI-S","Intermittent southern California","Reference","","",,"","99th percentile of reference values","Low","Eutrophication","TP",0.267,""
"CVF","Central Valley Floor","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","TP",0.012,""
"CVF","Central Valley Floor","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","TP",0.028,""
"CVF","Central Valley Floor","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","TP",0.055,""
"HB","Hard bottom","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","TP",0,""
"HB","Hard bottom","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","TP",0.028,""
"HB","Hard bottom","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","TP",0.068,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","TP",0,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","TP",0.009,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","TP",0.05,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","TP",0.007,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","TP",0.011,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","TP",0.048,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","TP",0.01,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","TP",0.039,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","TP",0.075,""
"CC","Constructed channel","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","TP",,"Insufficient data"
"CC","Constructed channel","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","TP",,"Insufficient data"
"CC","Constructed channel","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","TP",,"Insufficient data"
"Wadeable streams","Wadeable streams","Reference","","",,"","70th percentile of reference values","High","Eutrophication","Chl-a",14.3,""
"Wadeable streams","Wadeable streams","Reference","","",,"","90th percentile of reference values","Intermediate","Eutrophication","Chl-a",29.7,""
"Wadeable streams","Wadeable streams","Reference","","",,"","99th percentile of reference values","Low","Eutrophication","Chl-a",59.9,""
"RFI-N","Intermittent northern California","Reference","","",,"","70th percentile of reference values","High","Eutrophication","Chl-a",14.8,""
"RFI-N","Intermittent northern California","Reference","","",,"","90th percentile of reference values","Intermediate","Eutrophication","Chl-a",34.7,""
"RFI-N","Intermittent northern California","Reference","","",,"","99th percentile of reference values","Low","Eutrophication","Chl-a",82.9,""
"RFI-S","Intermittent southern California","Reference","","",,"","70th percentile of reference values","High","Eutrophication","Chl-a",17.9,""
"RFI-S","Intermittent southern California","Reference","","",,"","90th percentile of reference values","Intermediate","Eutrophication","Chl-a",33.9,""
"RFI-S","Intermittent southern California","Reference","","",,"","99th percentile of reference values","Low","Eutrophication","Chl-a",131.4,""
"CVF","Central Valley Floor","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","Chl-a",1.1,""
"CVF","Central Valley Floor","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","Chl-a",4.2,""
"CVF","Central Valley Floor","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","Chl-a",7.6,""
"HB","Hard bottom","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","Chl-a",4.8,""
"HB","Hard bottom","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","Chl-a",18.8,""
"HB","Hard bottom","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","Chl-a",34.7,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","Chl-a",7.7,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","Chl-a",18.4,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","Chl-a",61.4,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","Chl-a",1,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","Chl-a",5.5,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","Chl-a",26.6,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","Chl-a",1.3,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","Chl-a",9,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","Chl-a",43.7,""
"CC","Constructed channel","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","Chl-a",,"Insufficient data"
"CC","Constructed channel","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","Chl-a",,"Insufficient data"
"CC","Constructed channel","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","Chl-a",,"Insufficient data"
"Wadeable streams","Wadeable streams","Reference","","",,"","70th percentile of reference values","High","Eutrophication","AFDM",11.4,""
"Wadeable streams","Wadeable streams","Reference","","",,"","90th percentile of reference values","Intermediate","Eutrophication","AFDM",27.3,""
"Wadeable streams","Wadeable streams","Reference","","",,"","99th percentile of reference values","Low","Eutrophication","AFDM",95.4,""
"RFI-N","Intermittent northern California","Reference","","",,"","70th percentile of reference values","High","Eutrophication","AFDM",13.9,""
"RFI-N","Intermittent northern California","Reference","","",,"","90th percentile of reference values","Intermediate","Eutrophication","AFDM",32.2,""
"RFI-N","Intermittent northern California","Reference","","",,"","99th percentile of reference values","Low","Eutrophication","AFDM",51.1,""
"RFI-S","Intermittent southern California","Reference","","",,"","70th percentile of reference values","High","Eutrophication","AFDM",26.1,""
"RFI-S","Intermittent southern California","Reference","","",,"","90th percentile of reference values","Intermediate","Eutrophication","AFDM",56.2,""
"RFI-S","Intermittent southern California","Reference","","",,"","99th percentile of reference values","Low","Eutrophication","AFDM",95.8,""
"CVF","Central Valley Floor","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","AFDM",2.1,""
"CVF","Central Valley Floor","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","AFDM",4.3,""
"CVF","Central Valley Floor","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","AFDM",9.2,""
"HB","Hard bottom","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","AFDM",4.1,""
"HB","Hard bottom","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","AFDM",9.5,""
"HB","Hard bottom","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","AFDM",22,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","AFDM",3.7,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","AFDM",14.6,""
"SB2","Soft bottom engineered channel, two hardened sides","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","AFDM",28.4,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","AFDM",2.2,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","AFDM",7.2,""
"SB1","Soft bottom engineered channel, one hardened side","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","AFDM",25,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","AFDM",3.2,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","AFDM",15.6,""
"SB0","Soft bottom engineered channel, no hardened sides","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","AFDM",30,""
"CC","Constructed channel","Best observed","","",,"","1st percentile of observed values","High","Eutrophication","AFDM",,"Insufficient data"
"CC","Constructed channel","Best observed","","",,"","10th percentile of observed values","Intermediate","Eutrophication","AFDM",,"Insufficient data"
"CC","Constructed channel","Best observed","","",,"","30th percentile of observed values","Low","Eutrophication","AFDM",,"Insufficient data"
"Wadeable streams","Wadeable streams","Reference","","",,"","70th percentile of reference values","High","Eutrophication","% cover",18,""
"Wadeable streams","Wadeable streams","Reference","","",,"","90th percentile of reference values","Intermediate","Eutrophication","% cover",39,""
"Wadeable streams","Wadeable streams","Reference","","",,"","99th percentile of reference values","Low","Eutrophication","% cover",68,""
