masterid,stationname,latitude,longitude,comid,huc,county,psa_lu,RB,ISWP_Source,ISWP2,ISWP3,ISWP2_name,ISWP3_name,Watershed,lbank_do,rbank_do,bottom_do,class_do,stationcode,ag_2011_1k,ag_2011_5k,ag_2011_ws,urban_2011_1k,urban_2011_5k,urban_2011_ws,code_21_2011_1k,code_21_2011_5k,code_21_2011_ws,dev_2011_1k,dev_2011_5k,dev_2011_ws,sampledate,CSCI,ASCI_H,ASCI_D,AFDM_gm2,Chla_ugcm2,TN_mgL,TP_mgL,PCT_MAP,DO_mgL,SpCond_uScm,Temp_C,PCT_RC,PCT_SAFN,RBP_CHN,XSLOPE
103PS0217,"Mill Creek, West Branch ~1mi below Porcupine Rd.",41.68708,-124.08349,22226948,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103PS0217,0,0,0,0,0.0106349,0.0106349,12.15083799,9.3480804,9.3480804,12.15083799,9.3587153,9.3587153,2013-09-10T07:00:00Z,1.03731003,0.953850545695463,1.01831415404321,0,0.455,0.199,NA,NA,NA,NA,NA,NA,NA,NA,NA
103PS0281,Bear Creek ~0.6mi above Diamond Cr.,41.95480321,-123.9126482,0,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103PS0281,0,0,0,0,0.31588448,0.31588448,0,0,0,0,0.31588448,0.31588448,2015-07-22T07:00:00Z,0.84319073,1.07717600270407,1.04763492718273,3.82,1.25,0.0378,NA,NA,NA,NA,NA,NA,NA,NA,NA
103PS0345,Hurdygurdy Creek 1.2mi above Haydens Gulch,41.72442835,-123.8935529,0,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103PS0345,0,0,0,0,0.02418234,0.17529986,0,0,0,0,0.02418234,0.17529986,2018-08-28T07:00:00Z,1.07552626,NA,0.980511958036348,7.48,0.243,1.7,0.045,NA,NA,NA,NA,NA,NA,NA,NA
103RDCBCC,Rowdy Creek below Copper Cr.,41.9548,-124.06245,22226612,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103RDCBCC,0,0,0,0,0.19942665,0.25857013,0,1.1217749,1.48211334,0,1.3212015499999998,1.74068347,2011-07-21T07:00:00Z,1.01334208,0.875784690895128,0.7872337782183,2.31,0.732,0.131,NA,NA,NA,NA,NA,NA,NA,NA,NA
103STCNSR,Stony Creek ~0.2mi abobe NF Smith River,41.8621,-123.96064,22227560,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103STCNSR,0,0,0,0,0,0.01771542,0,0.00664982,0.03543084,0,0.00664982,0.05314626,2011-08-09T07:00:00Z,0.81595435,NA,1.09112145075821,4.42,0.28500000000000003,0.0457,NA,NA,NA,NA,NA,NA,NA,NA,NA
103WE0585,Smith River MF ~3mi below Patric Creek,41.85242,-123.89641,22227602,103,Del Norte,Urban,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WE0585,0,0,0,4,1.06256712,0.25649795,6.19097587,2.7270672,3.96146831,10.19097587,3.78963432,4.21796626,2000-09-15T07:00:00Z,1.036485,NA,NA,10.83,4.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103WE0817,Smith River Above Myrtle Creek,41.82633,-124.11418,22226782,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WE0817,0,1,0,0,0.2547894,0.22381008,6.44257703,6.01819003,2.98121147,6.44257703,7.27297943,3.2050215499999997,2001-06-14T07:00:00Z,0.97984419,NA,NA,11.36,1.515,0.048,0.002,NA,NA,NA,NA,NA,NA,NA,NA
103WE0817,Smith River Above Myrtle Creek,41.82633,-124.11418,22226782,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WE0817,0,1,0,0,0.2547894,0.22381008,6.44257703,6.01819003,2.98121147,6.44257703,7.27297943,3.2050215499999997,2003-07-22T07:00:00Z,0.86688152,NA,NA,3.41,0.455,0.064,0.002,NA,NA,NA,NA,NA,NA,NA,NA
103WE0817,Smith River Above Myrtle Creek,41.82633,-124.11418,22226782,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WE0817,0,1,0,0,0.2547894,0.22381008,6.44257703,6.01819003,2.98121147,6.44257703,7.27297943,3.2050215499999997,2003-07-31T07:00:00Z,0.90461912,NA,NA,5.3,1.136,0.052,0.003,NA,NA,NA,NA,NA,NA,NA,NA
103WE0817,Smith River Above Myrtle Creek,41.82633,-124.11418,22226782,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WE0817,0,1,0,0,0.2547894,0.22381008,6.44257703,6.01819003,2.98121147,6.44257703,7.27297943,3.2050215499999997,2004-05-19T07:00:00Z,1.05178864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103WE0817,Smith River Above Myrtle Creek,41.82633,-124.11418,22226782,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WE0817,0,1,0,0,0.2547894,0.22381008,6.44257703,6.01819003,2.98121147,6.44257703,7.27297943,3.2050215499999997,2004-08-03T07:00:00Z,0.46409576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103WE1072,Smith River ~1.6mi E Hardscrabble Creek,41.84402,-124.00182,22226752,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WE1072,0,0,0,3,1.89760356,0.33835612,12.34501348,5.27486602,2.50246002,15.34501348,7.1724695800000005,2.84081614,2002-05-24T07:00:00Z,0.75106398,NA,NA,12.88,2.8030000000000004,0.017,0.003,NA,NA,NA,NA,NA,NA,NA,NA
103WE1072,Smith River ~1.6mi E Hardscrabble Creek,41.84402,-124.00182,22226752,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WE1072,0,0,0,3,1.89760356,0.33835612,12.34501348,5.27486602,2.50246002,15.34501348,7.1724695800000005,2.84081614,2003-07-23T07:00:00Z,0.83044391,NA,NA,3.11,0.606,0.053,0,NA,NA,NA,NA,NA,NA,NA,NA
103WER026,Hardscrabble Creek above Coldwater Creek,41.84611,-124.0275,22226748,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WER026,0,0,0,0,0,0,0,0,0,0,0,0,2003-07-29T07:00:00Z,1.18411811,NA,NA,14.39,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103WER026,Hardscrabble Creek above Coldwater Creek,41.84611,-124.0275,22226748,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WER026,0,0,0,0,0,0,0,0,0,0,0,0,2012-08-15T07:00:00Z,0.98123549,1.20913284097137,1.21181285449148,4.85,1.305,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
103WER029,Clarks Creek above Hwy 199,41.80827,-124.11215,22226788,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WER029,0,0,0,0,0,0,1.832461,0.4367641,0.4367641,1.832461,0.4367641,0.4367641,2003-07-30T07:00:00Z,1.06132976,NA,NA,8.18,0.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103WER029,Clarks Creek above Hwy 199,41.80827,-124.11215,22226788,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WER029,0,0,0,0,0,0,1.832461,0.4367641,0.4367641,1.832461,0.4367641,0.4367641,2014-07-16T07:00:00Z,1.09273136,1.03481463568531,1.04761427132352,4.18,0.694,0.0679,NA,NA,NA,NA,NA,NA,NA,NA,NA
103WER029,Clarks Creek above Hwy 199,41.80827,-124.11215,22226788,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WER029,0,0,0,0,0,0,1.832461,0.4367641,0.4367641,1.832461,0.4367641,0.4367641,2015-07-21T07:00:00Z,0.90434371,1.08539459197259,1.14387349800118,2.12,0.765,0.0797,0.0132,NA,NA,NA,NA,NA,NA,NA,NA
103WER029,Clarks Creek above Hwy 199,41.80827,-124.11215,22226788,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WER029,0,0,0,0,0,0,1.832461,0.4367641,0.4367641,1.832461,0.4367641,0.4367641,2016-06-13T07:00:00Z,0.78766513,0.940204345038128,0.964393855905183,1.78,0.878,0.0429,NA,NA,NA,NA,NA,NA,NA,NA,NA
103WER029,Clarks Creek above Hwy 199,41.80827,-124.11215,22226788,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WER029,0,0,0,0,0,0,1.832461,0.4367641,0.4367641,1.832461,0.4367641,0.4367641,2017-06-20T07:00:00Z,0.95942664,0.966535706442185,1.02138488973423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103WER029,Clarks Creek above Hwy 199,41.80827,-124.11215,22226788,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WER029,0,0,0,0,0,0,1.832461,0.4367641,0.4367641,1.832461,0.4367641,0.4367641,2018-08-08T07:00:00Z,1.01823156,0.783880882251198,0.786964377281217,2.25,0.109,2,0.022,NA,NA,NA,NA,NA,NA,NA,NA
103WER029,Clarks Creek above Hwy 199,41.80827,-124.11215,22226788,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WER029,0,0,0,0,0,0,1.832461,0.4367641,0.4367641,1.832461,0.4367641,0.4367641,2019-07-09T07:00:00Z,1.15405337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103WER030,Eighteen Mile Creek above Old Gasquet Rd.,41.85675,-123.91167,22227610,103,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103WER030,0,0,0,0,0.03085467,0.03085467,0.49627792,0.58623882,0.58623882,0.49627792,0.61709349,0.61709349,2011-08-10T07:00:00Z,0.84846212,1.04983895230922,1.08898560175981,2.08,0,0.0331,NA,NA,NA,NA,NA,NA,NA,NA,NA
105BNGABS,Beans Gulch above Bark Shanty,41.4782,-123.5575,4440992,105,Siskiyou,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105BNGABS,0,0,0,0,0.03193868,0.04615385,0,0,0,0,0.03193868,0.04615385,2016-06-14T07:00:00Z,0.96945075,0.992303530329571,0.994755157544008,0,2.67,0.0322,NA,NA,NA,NA,NA,NA,NA,NA,NA
105BNGABS,Beans Gulch above Bark Shanty,41.4782,-123.5575,4440992,105,Siskiyou,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105BNGABS,0,0,0,0,0.03193868,0.04615385,0,0,0,0,0.03193868,0.04615385,2017-08-22T07:00:00Z,0.9925718,1.06495525541489,1.10133260848732,1.17,0.604,0.092,0.028,NA,NA,NA,NA,NA,NA,NA,NA
105BNGABS,Beans Gulch above Bark Shanty,41.4782,-123.5575,4440992,105,Siskiyou,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105BNGABS,0,0,0,0,0.03193868,0.04615385,0,0,0,0,0.03193868,0.04615385,2018-09-11T07:00:00Z,1.15118311,0.928129733254808,0.868095247812415,2.84,1.89,1.89,0.027,NA,NA,NA,NA,NA,NA,NA,NA
105BNGABS,Beans Gulch above Bark Shanty,41.4782,-123.5575,4440992,105,Siskiyou,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105BNGABS,0,0,0,0,0.03193868,0.04615385,0,0,0,0,0.03193868,0.04615385,2019-07-09T07:00:00Z,1.0483653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105BVCAGC,Burney Valley Creek above Granite Cr.,41.61201,-123.29221,4439740,105,Siskiyou,Other,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105BVCAGC,0,0,0,0,0,0,0,0,0,0,0,0,2010-09-21T07:00:00Z,1.23586709,1.03082118077245,1.09845347628246,4.76,1.771,0.347,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0029,Shasta River ~1.8mi below Cutoff Rd.,41.66083,-122.49833,3917966,105,Siskiyou,Ag,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CE0029,75,44,11,2,2.15134716,1.7637855,1.23784262,3.12093628,1.91273089,78.23784262,49.27228344,14.676516390000002,2004-08-17T07:00:00Z,0.65754263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0073,Boles Creek ~0.5mi below Hwy 97,41.42694,-122.39555,3918426,105,Siskiyou,Other,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CE0073,0,3,1,37,16.27541893,7.81119251,8.55345912,6.66277244,3.51452431,45.55345912,25.93819137,12.32571682,2004-07-13T07:00:00Z,0.86307882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0141,Willow Creek ~0.7mi above Klamath River,41.89194,-122.48694,361921,105,Siskiyou,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CE0141,0,10,11,1,1.1084186,0.24632599,0.09174312,1.02764315,0.35785857,1.09174312,12.13606175,11.60418456,2005-07-12T07:00:00Z,0.79360407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0149,"Blue Creek, EF ~3.4mi below Wildcat Creek",41.48333,-123.74194,4442318,105,Del Norte,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CE0149,0,0,0,0,0,0.02737335,1.297935,1.290474,1.473029,1.297935,1.290474,1.50040235,2005-09-27T07:00:00Z,1.06680283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0173,Yreka Creek ~0.2mi above Humbug Creek,41.73972,-122.62972,3917192,105,Siskiyou,Other,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CE0173,0,1,2,66,19.3183603,6.44040596,13.42086069,5.69813099,3.02974191,79.42086069,26.01649129,11.47014787,2005-07-12T07:00:00Z,0.49899642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0205,Yreka Creek above I-5,41.70111,-122.6425,3917288,105,Siskiyou,Other,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CE0205,0,4,2,13,1.71968079,1.81471939,9.3306288,2.6975385,1.9295396,22.3306288,8.41721929,5.7442589900000005,2006-06-19T07:00:00Z,0.84200728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0269,Oregon Slough at Willow Creek Rd.,41.78232,-122.47448,3917126,105,Siskiyou,Ag,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CE0269,67,59,56,11,1.75993026,1.65688999,11.83673469,3.60703972,3.40640115,89.83673469,64.36696998,61.06329114,2006-09-06T07:00:00Z,0.42820818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0329,Johns Meadow Creek ~1mi above S. Russian Creek,41.3075,-123.03361,8257849,105,Siskiyou,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CE0329,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-17T07:00:00Z,1.04551217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0329,Johns Meadow Creek ~1mi above S. Russian Creek,41.3075,-123.03361,8257849,105,Siskiyou,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CE0329,0,0,0,0,0,0,0,0,0,0,0,0,2014-07-23T07:00:00Z,1.18409348,0.915329706742031,0.963298876868277,3.12,0.5459999999999999,0.0875,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0381,Evans Ditch above Table Rock Rd.,41.71694,-122.35111,3917952,105,Siskiyou,Other,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CE0381,0,17,10,0,0.05766458,0.03268508,0,1.26862086,0.70817672,0,18.32628544,10.7408618,2007-07-16T07:00:00Z,0.83663532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0489,Scott River Above Etna Creek,41.47694,-122.84972,3800921,105,Siskiyou,Other,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CE0489,68,32,4,0,0.58354538,0.2270247,0,1.72349449,2.22811473,68,34.30703987,6.455139430000001,2005-07-13T07:00:00Z,0.91410509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0525,Oregon Slough ~0.6mi above Shasta River,41.73671,-122.55309,948010088,105,Siskiyou,Other,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CE0525,39,59,50,2,5.0798089299999996,2.18317184,7.01298701,4.66037516,3.00322987,48.01298701,68.74018409,55.18640171,2005-09-08T07:00:00Z,0.66822859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0557,Scott River ~4.7mi below Hwy 3,41.53945,-122.84279,3799671,105,Siskiyou,Other,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CE0557,61,76,5,2,0.35750766,0.23076081,8.61466822,4.35818863,2.31692238,71.61466822,80.71569629,7.547683189999999,2005-09-07T07:00:00Z,0.5850327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0685,Yreka Creek above Anderson Grade Rd.,41.77138,-122.605,3917120,105,Siskiyou,Urban,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CE0685,0,5,2,2,6.04898901,5.65248444,2.57255937,2.75478355,2.77250621,4.5725593700000005,13.80377256,10.42499065,2007-07-18T07:00:00Z,0.83429912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0765,Shasta River ~0.2mi below RR Crossing,41.46138,-122.43888,3918402,105,Siskiyou,Other,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CE0765,51,10,3,2,3.62847222,3.25363323,3.77192983,4.17534722,1.93369876,56.77192983,17.803819439999998,8.18733199,2004-07-12T07:00:00Z,1.12951192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CLCATC,Clear Creek above Tenmile Cr.,41.7349,-123.54822,0,105,Siskiyou,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CLCATC,0,0,0,0,0,0.00225596,0,0,0.2684594,0,0,0.27071536,2010-08-10T07:00:00Z,1.00682302,1.12195625320983,1.16629852197431,6.16,0.7549999999999999,0.0421,0.022,NA,NA,NA,NA,NA,NA,NA,NA
105CLCATC,Clear Creek above Tenmile Cr.,41.7349,-123.54822,0,105,Siskiyou,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CLCATC,0,0,0,0,0,0.00225596,0,0,0.2684594,0,0,0.27071536,2019-07-09T07:00:00Z,0.69555108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CR0901,Klamath River -0901,41.3226,-123.5227,4442592,105,Humboldt,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CR0901,0,0,6,1,0.17259978,0.4330445,13.53904282,5.16566497,1.51874008,14.53904282,5.33826475,7.95178458,2014-07-23T07:00:00Z,0.40945961,NA,0.82659408352557,3.64,2.94,0.331,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CR0901,Klamath River -0901,41.3226,-123.5227,4442592,105,Humboldt,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CR0901,0,0,6,1,0.17259978,0.4330445,13.53904282,5.16566497,1.51874008,14.53904282,5.33826475,7.95178458,2014-08-11T07:00:00Z,0.45978654,NA,0.788916067041073,4.24,1.0199999999999998,0.527,0.14,NA,NA,NA,NA,NA,NA,NA,NA
105CR0906,Klamath River -0906,41.5481,-123.5254,4439804,105,Siskiyou,Other,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CR0906,0,0,7,0,0.6059256,0.46919744,10.66225166,4.49988862,1.48591441,10.66225166,5.10581422,8.95511185,2014-08-12T07:00:00Z,0.4357662,NA,0.737822341223871,5.3,0.9710000000000002,0.596,0.189,NA,NA,NA,NA,NA,NA,NA,NA
105CR0908,Klamath River -0908,41.4462,-123.9333,4442414,105,Humbolt,Other,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CR0908,0,0,5,0,0.02282063,0.36165877,0,0.77101128,1.75964625,0,0.79383191,7.12130502,2014-07-22T07:00:00Z,0.43143325,NA,0.794243204760339,2.58,0.86,0.186,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CR0913,Klamath River -0913,41.844,-122.8934,362143,105,Siskiyou,Other,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CR0913,0,0,8,1,0.21076898,0.53618259,9.6803653,6.71496789,1.14699605,10.6803653,6.92573687,9.68317864,2014-08-12T07:00:00Z,0.55674035,NA,0.586303741598014,3.48,0.8699999999999999,0.773,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CR1004,Klamath River -1004,41.2755,-123.6008,4442642,105,Humbolt,Forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105CR1004,0,0,6,1,0.68476173,0.43176725,8.85750963,5.87779637,1.52582679,9.85750963,6.5625581,7.95759404,2014-07-23T07:00:00Z,0.29251775,NA,0.79401076667432,3.48,1.91,0.324,NA,NA,NA,NA,NA,NA,NA,NA,NA
105DLCDCC,Dillon Creek at Dillon Cr. Cmp.,41.57269,-123.54353,4439728,105,Siskiyou,Other,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105DLCDCC,0,0,0,0,0.04972796,0.05757326,0.534188,1.58837,1.16907,0.534188,1.63809796,1.22664326,2009-05-19T07:00:00Z,1.02349319,0.962875313011649,1.09950861074578,NA,NA,0.0956,0.00925,0,NA,NA,NA,0,11,20,NA
105DLCDCC,Dillon Creek at Dillon Cr. Cmp.,41.57269,-123.54353,4439728,105,Siskiyou,Other,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105DLCDCC,0,0,0,0,0.04972796,0.05757326,0.534188,1.58837,1.16907,0.534188,1.63809796,1.22664326,2009-06-23T07:00:00Z,1.02707209,0.834301102841736,0.85508244471032,NA,NA,0,0.0249,12,NA,NA,NA,0,16,20,NA
