masterid,sampledate,Alkalinity_as_CaCO3,Oxygen_Dissolved,Salinity,SpecificConductivity,Temperature,Turbidity,pH,TN,TP,AFDM_g_m2,Chl-a_mg_m2,PCT_FAST,PCT_FN,PCT_HP,PCT_MAP,PCT_SAFN,XCMG,XFC_NAT_SWAMP,XSLOPE
103WE0817,2003-07-22T07:00:00Z,NA,NA,NA,130.8,NA,0.2,8.36,0.064,0.002,3.41,4.55,NA,NA,NA,NA,NA,NA,NA,NA
103WE0817,2003-07-31T07:00:00Z,NA,NA,NA,142,NA,0.21,8.37,0.052,0.003,5.3,11.36,NA,NA,NA,NA,NA,NA,NA,NA
103WE0817,2004-05-19T07:00:00Z,NA,NA,NA,NA,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103WE0817,2004-08-03T07:00:00Z,NA,NA,NA,NA,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103WE1072,2002-05-24T07:00:00Z,NA,NA,NA,117.8,NA,0.16,8.3,0.017,0.003,12.88,28.03,NA,NA,NA,NA,NA,NA,NA,NA
103WE1072,2003-07-23T07:00:00Z,NA,NA,NA,132.8,NA,0.17,8.52,0.053,0,3.11,6.06,NA,NA,NA,NA,NA,NA,NA,NA
103WER026,2003-07-29T07:00:00Z,NA,8.9,NA,48,14.7,NA,NA,NA,NA,14.39,5.3,NA,NA,NA,NA,NA,NA,NA,NA
103WER026,2012-08-15T07:00:00Z,85,7.3,0.1,162.6,16.8,0.38,8.41,0,0.02475,4.85,13.049999999999999,49,0,0,2,0,206,39.1,1.9
103WER029,2003-07-30T07:00:00Z,NA,8.5,NA,62,13.9,NA,NA,NA,NA,8.18,2.27,NA,NA,NA,NA,NA,NA,NA,NA
103WER029,2014-07-16T07:00:00Z,22,10.06,0,76.5,14.2,3.56,7.3,0.0679,0.142,4.18,6.94,29,5,0,2,20,209,116.6,1.4
103WER029,2015-07-21T07:00:00Z,28,7.07,0,73.7,15.9,0.77,7.7,0.0797,0.0182,2.12,7.65,20,6,0,1,10,185,59,1.7
103WER029,2017-06-20T07:00:00Z,56,10.2,0,54.3,12.1,0.55,9.7,NA,0.09,NA,NA,30,0,0,2,16,182,37.3,1.1
103WER029,2018-08-08T07:00:00Z,28,8.53,0,2.4,13.9,3.68,7.6,2,0.022,2.25,1.09,16,6,1,0,14,198,79.4,1.6
103WER029,2019-07-09T07:00:00Z,30,8.85,0,68.9,13.5,0.36,7.9,NA,NA,NA,NA,27,0,0,0,12,189,87.2,2.6
103WER030,2003-07-31T07:00:00Z,NA,7.9,NA,183,19,NA,NA,NA,NA,4.7,3.79,NA,NA,NA,NA,NA,NA,NA,NA
103WER030,2011-08-10T07:00:00Z,108,6,0.1,193,15.8,0,8.4,0.0331,0.022449999999999998,2.08,NA,34,0,0,2,0,106,58.4,15.7
105BNGABS,2017-08-22T07:00:00Z,42,9.16,0.1,101.9,13.6,0.64,8.2,0.092,0.028,1.17,6.04,84,1,0,0,3,160,37.7,4.1
105BNGABS,2018-09-11T07:00:00Z,60,9.17,0.1,112.5,11.7,0.21,8,1.89,0.027,2.84,18.9,89,0,0,0,4,146,46.4,3.8
105BNGABS,2019-07-09T07:00:00Z,17,10.5,0,99,11.2,0.08,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105BVCAGC,2010-09-21T07:00:00Z,32,8.1,0,63,10.8,0,8,0.347,0.01625,4.76,17.71,52,1,0,3,15,132,54.2,12.3
105CE0029,2004-08-17T07:00:00Z,NA,8.3,0.2,419,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0073,2004-07-13T07:00:00Z,NA,8.1,0.1,149,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0141,2005-07-12T07:00:00Z,NA,2.9,0,600,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0149,2005-09-27T07:00:00Z,NA,9.6,0,71,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0173,2005-07-12T07:00:00Z,NA,8.6,0.1,180,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0205,2006-06-19T07:00:00Z,NA,NA,0.3,578,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0269,2006-09-06T07:00:00Z,NA,6.4,0.1,730,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0329,2007-07-17T07:00:00Z,56,8.1,0.1,59,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0329,2014-07-23T07:00:00Z,40,8.22,0,80.1,14.4,0,7.3,0.0875,0.0306,3.12,5.46,29,0,0,0,0,149,35.5,18.8
105CE0381,2007-07-16T07:00:00Z,48,8.1,0.1,70,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0489,2005-07-13T07:00:00Z,120,8.2,0.1,NA,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0525,2005-09-08T07:00:00Z,300,4.2,NA,314.3,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0557,2005-09-07T07:00:00Z,NA,4.9,0.1,122,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0685,2007-07-18T07:00:00Z,120,5.8,0.1,270.9,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CE0765,2004-07-12T07:00:00Z,NA,7.3,0.1,202,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105CLCATC,2010-08-10T07:00:00Z,73,9.3,0.1,116,18.2,0.18,8.2,0.0421,0.022,6.16,7.55,101,0,0,30,2,132,37.6,2
105CLCATC,2019-07-09T07:00:00Z,55,9.63,0.1,105.3,14.6,0.19,NA,NA,NA,NA,NA,100,0,0,4,8,172,98.9,1.2
105CR0901,2014-07-23T07:00:00Z,NA,NA,NA,158,NA,0.85,7.32,0.331,0.0981,3.64,29.4,NA,NA,NA,NA,NA,NA,NA,NA
105CR0901,2014-08-11T07:00:00Z,NA,NA,NA,161,NA,3.75,8.46,0.527,0.1325,4.24,10.2,NA,NA,NA,NA,NA,NA,NA,NA
105CR0906,2014-08-12T07:00:00Z,NA,NA,NA,164.5,NA,3.6,7.605,0.596,0.189,5.3,9.71,NA,NA,NA,NA,NA,NA,NA,NA
105CR0908,2014-07-22T07:00:00Z,NA,NA,NA,153,NA,0.625,8.22,0.186,0.0523,2.58,8.6,NA,NA,NA,NA,NA,NA,NA,NA
105CR0913,2014-08-12T07:00:00Z,NA,NA,NA,158,NA,6.5,8.49,0.773,0.232,3.48,8.7,NA,NA,NA,NA,NA,NA,NA,NA
105CR1004,2014-07-23T07:00:00Z,NA,NA,NA,157,NA,0.75,7.48,0.324,0.0946,3.48,19.1,NA,NA,NA,NA,NA,NA,NA,NA
105DLCDCC,2009-05-19T07:00:00Z,42,11.29,0,74.8,13.8,0.75,8,0.0956,0.00925,NA,NA,100,0,0,0,11,114,22.3,NA
105DLCDCC,2009-06-23T07:00:00Z,48,10.1,0,64.7,16.9,1.1,8.1,0,0.0249,NA,NA,41,0,0,12,16,140,52.3,NA
105DLCDCC,2009-08-05T07:00:00Z,NA,8.5,0.1,115.2,18.3,0.55,7.3,0.1037,0.023,24.83,9.38,49,0,0,9,15,85,46.6,1.6
105DLCDCC,2009-09-15T07:00:00Z,55,9.5,0.1,121,15.1,0.55,7.2,0.0239,0.014,NA,11.34,40,0,0,18,11,89,32.2,NA
105DLCDCC,2009-10-20T07:00:00Z,60,11.1,0.1,118,12.4,1.15,8.4,0.0673,0.0137,NA,50.32,28,1,0,1,21,70,44.4,NA
105FC1116,2014-08-05T07:00:00Z,NA,NA,NA,224.5,NA,1.65,8.93,0.36,0.0497,18.8,35.5,NA,NA,NA,NA,NA,NA,NA,NA
105FC1120,2014-07-30T07:00:00Z,NA,NA,NA,67.5,NA,NA,6.925000000000001,0.0314,0.0299,3.94,11.7,NA,NA,NA,NA,NA,NA,NA,NA
105FC1297,2014-07-22T07:00:00Z,NA,NA,NA,102,NA,NA,7.67,0,0.0345,2.95,7.42,NA,NA,NA,NA,NA,NA,NA,NA
105FCA116,2013-07-16T07:00:00Z,NA,NA,NA,42,NA,0.45,7.59,0.045649999999999996,0.0326,NA,2.02,NA,NA,NA,NA,NA,NA,NA,NA
105FLH087,2012-06-12T07:00:00Z,60,12.69,0.07,151,23.3,NA,7.8,NA,NA,NA,NA,6,45,0,25,45,71,61.1,0
105FS0416,2013-09-24T07:00:00Z,72,9.55,0.1,133,10.8,0.04,8.4,0.0476,0.025599999999999998,3.26,3.26,60,0,0,5,0,92,23.6,NA
105FS0425,2011-08-10T07:00:00Z,35.05,8.62,0,70.4,14.5,0.42,8.03,0.138,0.0137,3.46,6.93,70,0,1,6,0,114,60.1,3.6
105FS0428,2011-08-03T07:00:00Z,33.5,9.31,0,69.1,12.7,2.57,8,0.11399999999999999,0.025,2.6,3.47,87,0,0,0,6,98,71.8,7.8
105NWC151,2013-06-26T07:00:00Z,88,5.8,0.1,188.7,16.3,8.62,7.8,0.35,0.0399,10.8,20.3,19,21,0,37,30,137,26.4,2.5
105PS0028,2008-08-12T07:00:00Z,48,6.95,0,66.2,22.2,1.94,8.68,0.486,0.0214,8.98,3.94,28,0,19,NA,18,139,35.4,0.7
105PS0028,2008-08-26T07:00:00Z,NA,9,0,82,21,4.8,8.2,0.368,0.01795,12.3,30.52,32,20,0,NA,57,76,7.8,0.5
105PS0043,2008-09-17T07:00:00Z,108,10.42,0.1,204.5,11.5,0.27,8.32,0.0704,0.0241,3.27,6.36,73,0,0,NA,10,145,93.9,4.1
105PS0067,2009-08-24T07:00:00Z,275,7.71,0.2,435.4,15.9,0.36,8,0.28400000000000003,0.04533333333333334,5.635,5.6,38,0,0,2,10,174,52.1,3
105PS0067,2009-09-15T07:00:00Z,210,6.98,0.2,494,14.4,0.42,8.2,0.1595,0.0406,3.97,3.97,32,0,0,1,1,195,83.6,4.5
105PS0069,2009-08-18T07:00:00Z,30,9.59,0,78.3,15.9,0.44,6.7,0.291,0.017550000000000003,5.01,2.31,36,0,0,1,15,195,30.2,2.5
105PS0083,2009-09-08T07:00:00Z,38,10,0,100.9,10.9,3.84,7.3,0.09204999999999999,0.02885,6.93,4.05,89,0,0,13,0,128,26.8,22.3
105PS0090,2009-08-25T07:00:00Z,40,8.81,0.1,111.9,15.6,0.31,7.7,0.0799,0.0118,5.84,3.93,51,0,0,35,1,95,82.7,2.2
105PS0090,2012-08-07T07:00:00Z,30.2,8.85,0,69.7,15.1,0.05,8.53,0.12210000000000001,0.0099,6.52,14,75,0,0,16,10,69,37.1,2.8
105PS0092,2008-08-11T07:00:00Z,45,7.45,0,61.4,18.8,0.64,8.45,0,0.0451,5.99,14.65,12,6,0,NA,21,90,106.2,1.9
105PS0097,2009-09-08T07:00:00Z,70,9.86,0.1,172,14.7,0.57,8,0.02555,0.02645,6.015000000000001,7.995,53,1,0,41,4,101,28.7,2.3
105PS0097,2014-07-22T07:00:00Z,95,9.25,0.1,173.4,21,0,7.9,0.0744,0.0431,3.19,3.32,82,0,0,0,5,147,38.7,1.3
105PS0107,2009-09-14T07:00:00Z,100,8.62,0.1,209.8,20.4,0.58,8.3,0.139,0.01735,8.47,6.59,31,3,0,35,6,99,39.4,1.4
105PS0129,2010-08-11T07:00:00Z,79,9.6,0.1,135,11.5,1.68,7.5,0.0619,0.0411,5.195,5.326666666666667,86,0,0,6,8,186,60,5
105PS0149,2012-08-29T07:00:00Z,80,10.13,0.1,154.2,16,0.35,9.09,0,0.0177,3.94,4.83,97,0,0,6,3,36,47.5,5.3
105PS0154,2011-08-09T07:00:00Z,38,8.05,0,59.3,14.7,0.97,7.44,0.10385,0.0162,1.5,3.12,94,0,11,3,15,76,31.1,3.2
105PS0188,2008-08-26T07:00:00Z,NA,9.2,0,101,10.4,8.26,8.5,0.244,0.151,13.9,4.8566666666666665,100,4,0,NA,24,31,24.8,3.1
105PS0193,2012-08-29T07:00:00Z,95,9.58,0.1,173.5,13.4,0.15,9.21,0,0.0206,3.43,14.2,68,0,0,32,1,132,32.3,1.8
105PS0195,2012-08-07T07:00:00Z,60,8.82,0.1,102.4,18.3,0.22,8.84,0.0587,0.0159,2.83,7.08,82,0,0,0,9,117,35.5,3
105PS0211,2013-08-20T07:00:00Z,40,8.48,0.04,93,15.18,1.25,7.79,0.02605,0.01375,4.39,4.22,60,0,0,5,1,151,104.7,4.5
105PS0211,2013-09-16T07:00:00Z,50,9.16,0,88.6,14,0.01,7.5,0.0361,0.0231,2.55,11.15,36,0,0,0,1,128,40,7.3
105PS0231,2013-08-29T07:00:00Z,195,8.97,0.2,423.5,14.7,NA,7.99,0.191,0.2285,3.9,3.76,100,1,1,2,50,132,67.9,0.2
105PS0259,2013-09-17T07:00:00Z,110,9.3,0.1,178.8,13.8,0,7.8,0.0654,0.0335,1.88,2.69,66,0,0,1,7,146,27.2,4.7
105PS0267,2014-07-21T07:00:00Z,110,9.42,0,86.2,18.7,0.4,8.3,0.0846,0.0257,4.06,9.025,58,0,0,1,0,157,38.6,4.5
105PS0275,2015-08-19T07:00:00Z,56,7.2,0.1,109.6,12.6,0.42,8.2,0.0473,0.010700000000000001,3.22,12.65,34,1,0,0,15,94,36.6,0.7
105PS0276,2009-09-01T07:00:00Z,160,6,0.1,237,15.2,1.43,9,0.183,0.0483,46.59,38.29,0,30,15,4,55,103,33.3,0.2
105PS0276,2009-09-22T07:00:00Z,150,4.7,0.1,2480,10.7,5.62,7.9,0.204,0.0476,20.98,25.49,0,30,26,1,50,108,38.2,2.8
105PS0299,2017-07-19T07:00:00Z,72,10.24,0.1,146.3,11.7,2.4,9.1,0.144,0,NA,NA,94,0,0,0,23,117,91.9,17.5
105PS0323,2017-07-20T07:00:00Z,192,9.73,0.2,453.2,12.3,0.11,8.8,0.147,0,NA,NA,64,0,0,1,17,164,50.9,3.6
105PS0468,2009-09-01T07:00:00Z,140,11.35,0.1,236,23.5,6.91,10.8,0.604,0.0277,39.69,33.86,9,29,2,39,29,96,93.7,0.7
105PS0540,2010-08-05T07:00:00Z,52,8.25,0,73.2,11,1.6,7.99,0.186,0.048100000000000004,4.14,4.02,97,15,0,1,32,108,59.5,2.2
105PS0540,2010-09-15T07:00:00Z,45,10.57,0.04,75,8.68,0.1,7.98,0.154,0.0525,9.76,5.71,44,0,0,10,29,116,109.7,1
105PS0540,2015-08-03T07:00:00Z,60,8.79,0,73.8,18.3,0.77,8.6,0.0802,0.03745,1.76,3.53,58,4,0,34,35,127,65,1.8
105PS0540,2017-08-15T07:00:00Z,40,8.62,0,83.2,11.5,0.83,8.8,0.181,0.0545,4.35,0,77,0,0,14,38,120,54.7,1.4
105PS0540,2018-09-18T07:00:00Z,40,9.43,0,56.1,6.6,1.53,8,1.05,0,5.35,12,75,11,0,10,39,117,64,2.6
105PS0540,2019-08-07T07:00:00Z,60,8.96,0,73.4,10.1,0.86,8.1,0.144,0.465,3.66,3.3,86,2,0,3,33,127,63.2,2.8
105PS0540,2020-09-14T07:00:00Z,50,8.15,0,76.8,11.6,0.33,8.7,0.008,0.045,1.3,3.5,64,6,0,49,29,126,67.9,2.5
105PS0660,2010-08-03T07:00:00Z,140,5.7,0.1,230,19.7,0.83,8.3,0.2225,0.052000000000000005,14.275,29.703333333333333,28,13,0,34,36,132,29.1,0.8
105PS1148,2012-09-18T07:00:00Z,400,6.03,0.3,700,11,0.41,8.7,0.245,0.0184,NA,27.9,2,14,0,11,25,141,48.4,1.6
105PS1404,2013-08-28T07:00:00Z,95,10.71,0.1,244.7,19.1,NA,8.27,0.5994999999999999,0.07985,2.31,3.6100000000000003,76,0,0,0,18,123,48.1,3.4
105PS1492,2014-08-06T07:00:00Z,152,11.4,0.1,256.2,22.6,2.61,8.6,2.53,0.0774,29.2,20.7,0,78,0,100,78,93,70.1,0
105PS1564,2015-08-17T07:00:00Z,52,7.23,0,66,15.8,1.09,8.3,0,0.01645,4.2,19,NA,NA,NA,NA,NA,NA,NA,NA
105PS2018,2017-08-16T07:00:00Z,84,8.84,0.1,174.9,17.3,1.67,8.9,0.0228,0.057,5.33,11,NA,NA,NA,NA,NA,NA,NA,NA
105TMCACC,2010-08-10T07:00:00Z,104,9.77,0.1,143.7,15.3,0.09,8,0.0364,0.0204,4.78,3.88,82,0,0,4,5,108,45.8,3.5
105WE0579,2002-05-22T07:00:00Z,NA,NA,NA,121.1,13,1.89,8.1,0.093,0.016,10.61,10.61,NA,NA,NA,NA,NA,NA,NA,NA
105WE0579,2003-07-28T07:00:00Z,NA,NA,NA,172.9,NA,0.37,8.38,0.153,0.033,1.36,5.3,NA,NA,NA,NA,NA,NA,NA,NA
105WE0583,2001-08-01T07:00:00Z,NA,8.9,NA,203.2,14.9,0.13,8.3,0.07,0.014,27.27,53.03,NA,NA,NA,NA,NA,NA,NA,NA
105WE0591,2000-09-07T07:00:00Z,NA,12.8,NA,197.1,19.6,0.78,8.63,0.621,0.138,9.17,61.67,NA,NA,NA,NA,NA,NA,NA,NA
105WE0591,2003-07-25T07:00:00Z,NA,NA,NA,201.3,NA,0.45,8.53,0.341,0.078,1.06,5.3,NA,NA,NA,NA,NA,NA,NA,NA
105WE0592,2000-09-12T07:00:00Z,NA,8.8,NA,182,9.4,0.15,8.18,0.091,0.002,6.06,1.52,NA,NA,NA,NA,NA,NA,NA,NA
105WE0592,2015-07-13T07:00:00Z,132,7.9,0.1,208.2,16.2,0.47,8.4,0.135,0.0262,5.98,5.04,82,4,0,0,15,175,69.3,8
105WE0598,2002-09-17T07:00:00Z,NA,NA,NA,213.8,10.5,0.41,8.13,0.05,0.011,17.42,7.58,NA,NA,NA,NA,NA,NA,NA,NA
105WE0598,2014-07-24T07:00:00Z,130,8.92,0.1,233.3,13.8,0.27,7.6,0.181,0.0498,4.91,4.25,77,0,0,2,7,159,53.1,11
105WE0601,2000-09-05T07:00:00Z,NA,9.7,NA,208,19.1,2.33,8.61,1.051,0.204,12.12,80.3,NA,NA,NA,NA,NA,NA,NA,NA
105WE0603,2001-06-22T07:00:00Z,NA,9.3,NA,145.8,23.3,0.79,8.58,0.344,0.058,12.88,25.76,NA,NA,NA,NA,NA,NA,NA,NA
105WE0603,2003-07-29T07:00:00Z,NA,NA,NA,187,NA,0.38,8.4,0.226,0.053,2.88,15.15,NA,NA,NA,NA,NA,NA,NA,NA
105WE0604,2000-09-13T07:00:00Z,NA,8.8,NA,34.33,10.8,0.1,7.49,0.1,0.004,5.3,19.7,NA,NA,NA,NA,NA,NA,NA,NA
105WE0613,2000-08-08T07:00:00Z,NA,9,NA,110,15.3,0.25,8.02,0.098,0.007,2.27,3.03,NA,NA,NA,NA,NA,NA,NA,NA
105WE0630,2000-09-11T07:00:00Z,NA,8.9,NA,190.7,19.7,0.8,8.8,0.651,0.147,13.64,62.12,NA,NA,NA,NA,NA,NA,NA,NA
105WE0630,2004-05-17T07:00:00Z,NA,NA,NA,NA,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105WE0756,2001-08-21T07:00:00Z,NA,9.5,NA,56.29,12.4,0.57,7.72,0.064,0.025,25.76,25,NA,NA,NA,NA,NA,NA,NA,NA
105WE0756,2001-09-27T07:00:00Z,NA,8,NA,58.26,6.4,0.25,7.49,0.04,0.018,47.73,27.27,NA,NA,NA,NA,NA,NA,NA,NA
105WE0756,2002-07-31T07:00:00Z,NA,6.8,NA,53.01,13.9,0.22,7.69,0.081,0.024,25.76,1.52,NA,NA,NA,NA,NA,NA,NA,NA
105WE0756,2002-09-26T07:00:00Z,NA,11.5,NA,58.36,4.3,0.32,7.49,0.034,0.031,33.33,35.61,NA,NA,NA,NA,NA,NA,NA,NA
105WE0761,2001-10-02T07:00:00Z,NA,NA,NA,305.7,NA,0.25,8.48,0.04,0.028,9.85,5.3,NA,NA,NA,NA,NA,NA,NA,NA
105WE0811,2001-07-31T07:00:00Z,NA,8.5,NA,136.1,13.7,0.13,8.13,0.053,0.002,6.82,9.85,NA,NA,NA,NA,NA,NA,NA,NA
105WE0811,2015-08-18T07:00:00Z,68,9.4,0.1,135,14.4,0.27,8.6,0,0.0145,NA,2.82,67,0,0,12,4,120,47.3,6.2
105WE0833,2001-08-15T07:00:00Z,NA,7.7,NA,76.3,12.7,1,7.44,0.576,0.02,18.94,54.55,NA,NA,NA,NA,NA,NA,NA,NA
105WE0845,2001-09-26T07:00:00Z,NA,9.1,NA,150.7,10.4,0.14,7.97,0.05,0.021,7.58,12.88,NA,NA,NA,NA,NA,NA,NA,NA
105WE0857,2003-08-26T07:00:00Z,NA,5.3,NA,208.8,19.5,0.21,7.21,0.18,0.01,3.64,6.06,NA,NA,NA,NA,NA,NA,NA,NA
105WE1000,2002-07-17T07:00:00Z,NA,5.3,NA,540.8,16.6,0.71,7.71,1.539,0.349,20.45,14.39,NA,NA,NA,NA,NA,NA,NA,NA
105WE1005,2002-08-21T07:00:00Z,NA,10.6,NA,96.66,14.6,0.3,7.2,0.181,0.013,6.06,9.09,NA,NA,NA,NA,NA,NA,NA,NA
105WE1060,2002-08-22T07:00:00Z,NA,12.3,NA,25.98,10.1,0.34,6.78,0.09,0.005,15.91,2.27,NA,NA,NA,NA,NA,NA,NA,NA
105WE1064,2002-07-16T07:00:00Z,NA,5.4,NA,407.4,21.5,1.75,8.01,0.126,0.059,21.97,15.91,NA,NA,NA,NA,NA,NA,NA,NA
105WE1067,2002-07-10T07:00:00Z,NA,6.4,NA,50.7,15.4,0.23,7.87,0.073,0.004,5.3,3.79,NA,NA,NA,NA,NA,NA,NA,NA
105WE1091,2002-08-13T07:00:00Z,NA,8,NA,64.24,15.1,0.07,7.22,0.1,0,3.79,1.52,NA,NA,NA,NA,NA,NA,NA,NA
105WE1091,2015-07-14T07:00:00Z,28,7.52,0,61.4,15.1,0.02,7,0.0681,0.0119,NA,3.47,48,0,0,0,12,72,28.6,1.1
105WER052,2003-08-27T07:00:00Z,NA,8.6,NA,NA,18.6,NA,NA,NA,NA,3.79,15.15,NA,NA,NA,NA,NA,NA,NA,NA
105WLC135,2013-06-26T07:00:00Z,115,8.9,0.1,241,17.3,2.26,10,0.436,0.0229,8.1,9.57,6,29,15,57,34,94,32,0.2
105WLCABC,2011-08-03T07:00:00Z,44.5,8.16,0.1,1046,14,0,7.8,0.189,0.0237,3.33,2.01,82,0,0,7,1,124,79.1,3.2
105WLKAKR,2015-08-18T07:00:00Z,112,8.07,0.1,220.8,20.1,4.86,8.6,0,0.0676,NA,3.29,91,1,0,2,19,150,24.6,5.8
106CE0217,2006-07-12T07:00:00Z,180,6,0.2,313.2,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106CE0257,2006-07-11T07:00:00Z,150,7.5,NA,337,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106CE0377,2007-08-15T07:00:00Z,NA,9.6,0.2,337,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106CE0521,2006-07-20T07:00:00Z,60,6.5,NA,118,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106CE0577,2006-07-13T07:00:00Z,150,7.6,0.1,218.2,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106CE0713,2007-08-13T07:00:00Z,54,6.5,0.1,99.6,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106FC1183,2014-07-24T07:00:00Z,NA,NA,NA,242,NA,0.75,6.87,0.191,0.0718,4.39,4.05,NA,NA,NA,NA,NA,NA,NA,NA
106FC1313,2014-07-23T07:00:00Z,NA,NA,NA,231,NA,NA,7.32,0.01135,0.0577,4.23,6.01,NA,NA,NA,NA,NA,NA,NA,NA
