"MasterID","SampleDate","Replicate","New_Lat","New_Long","PSA2","PSA6c","DevSet","SelectedSample","Nitrogen_Total_mgPerL","Phosphorus_as_P_mgPerL","Chlorophyll_a_mgPerm2","Ash_Free_Dry_Mass_mgPercm2","PCT_MAP","CSCI","ASCI_D","ASCI_H"
"903NP9UAC","4/9/2015",1,33.31905828,-116.6234092,"Arid","SC","Cal","Selected",0.197,0.0188,11.7,4.28,11,1.042551476,0.880782586,0.872130625
"907SDB035","5/22/2014",1,32.97451364,-116.7384926,"Arid","SC","Cal","Selected",0.121,0.0092,18.2,0.967,NA,0.95335946,1.186231592,1.257275625
"911NP9ATC","3/24/2014",1,32.76732216,-116.416673,"Arid","SC","Cal","NotSelected",0.137,0.0146,8.96,2.29,40,0.998319484,0.917548205,0.915443649
"911NP9ATC","4/29/2014",1,32.76732216,-116.416673,"Arid","SC","Cal","NotSelected",0.196,0.0163,0.88,7.61,2,0.806084516,1.069993083,1.068863595
"911NP9ATC","4/7/2015",1,32.76732216,-116.416673,"Arid","SC","Cal","Selected",0.117,0.0077,6.94,2.11,19,0.950128486,0.996284138,1.009157175
"911NP9ATC","4/7/2015",2,32.76732216,-116.416673,"Arid","SC","Cal","Selected",0.117,0.0077,6.94,2.11,19,0.902681383,0.856577828,0.891009555
"911TJKC1x","3/30/2015",1,32.75858894,-116.4509811,"Arid","SC","Cal","Selected",0.267,0.0109,14.3,6.13,56,0.949561912,0.785874905,0.796918674
"102PS0177","8/28/2012",1,41.929391,-123.57254,"Wet","NC","Cal","Selected",0,0.0057,11.2,0.33,21,1.031605898,1.140440053,1.258182077
"102PS0177","8/28/2012",2,41.929391,-123.57254,"Wet","NC","Cal","Selected",0,0.0057,11.2,0.33,21,1.033285402,1.152189429,1.19596124
"633PS0083","9/4/2012",1,38.67894,-119.9608,"Wet","SN","Cal","Selected",0.0635,0.0128,17.6,0.732,25,0.972409401,0.909449465,0.938848241
"634PS0099","9/10/2012",1,38.95161,-120.1129,"Wet","SN","Cal","Selected",0.27,0,16.8,0.874,0,1.113832188,1.060611066,1.020895675
"408M03005","6/15/2015",1,34.27001,-118.742,"Arid","SC","Val","Selected",0.56,0.028,24.6998,1.64666,4,0.68919601,0.624223506,0.736366847
"102PS0139","8/9/2010",1,41.9959481,-122.9597,"Wet","NC","Val","Selected",0.152,0.0127,4.22,0.491,3,1.071569416,0.902007212,0.946078761
"103FCA168","7/24/2013",1,41.6496191,-124.09118,"Wet","NC","Cal","Selected",0.276,0.013,2.33,0.197,NA,1.091683004,0.728978513,0.78831665
"103RDCBCC","7/21/2011",1,41.9548095,-124.0625,"Wet","NC","Cal","Selected",0.131,0.0135,7.32,0.231,2,1.007169351,0.787233778,0.88848483
"105FC1116","8/5/2014",1,41.91258293,-120.9212504,"Arid","DM","Cal","Selected",0.36,0.0161,35.5,1.88,NA,0.766945475,1.127146689,1.110554112
"105FC1297","7/22/2014",1,41.32860037,-123.4199184,"Wet","NC","Cal","Selected",0,0.0085,7.42,0.295,NA,1.109367776,0.928272382,1.059284992
"105NWC151","6/26/2013",1,41.91713452,-120.8810529,"Arid","DM","Cal","Selected",0.35,0.0399,20.3,1.08,37,0.912554098,0.965986735,0.978613714
"105PS0067","8/24/2009",1,41.139249,-123.13937,"Wet","NC","Cal","NotSelected",0.402,0.0433,6.29,0.586,2,1.121537085,0.773582438,0.895593859
"105PS0067","8/24/2009",2,41.139249,-123.13937,"Wet","NC","Cal","NotSelected",0.402,0.0433,6.29,0.586,2,1.113908881,0.619294582,0.770454452
"105PS0067","9/15/2009",1,41.139249,-123.13937,"Wet","NC","Cal","Selected",0.227,0.0206,3.97,0.397,1,1.171090668,0.633035675,0.756797948
"105PS0069","8/18/2009",1,41.2982463,-123.94255,"Wet","NC","Val","Selected",0.291,0.0181,2.31,0.501,1,0.996161939,0.851215709,0.856033926
"105PS0107","9/14/2009",1,41.7137526,-123.01732,"Wet","NC","Cal","Selected",0.139,0.0158,6.59,0.847,35,0.874784621,0.993858084,1.005644749
"105PS0129","8/11/2010",1,41.9237684,-123.46483,"Wet","NC","Cal","Selected",0.0662,0.0289,6.95,0.623,6,1.064021399,0.886763869,1.017156246
"105PS0129","8/11/2010",2,41.9237684,-123.46483,"Wet","NC","Cal","Selected",0.0662,0.0289,6.95,0.623,6,1.091810275,0.934338201,0.996927756
"105PS0149","8/29/2012",1,41.240996,-123.65543,"Wet","NC","Cal","Selected",0,0.0096,4.83,0.394,6,0.950622009,0.978720518,0.989191587
"105PS0231","8/29/2013",1,41.60811142,-122.456988,"Wet","NC","Cal","Selected",0.191,0.199,3.76,0.39,2,0.655768698,0.595301503,0.753423682
"105PS0276","9/1/2009",1,41.9900047,-120.81078,"Arid","DM","Cal","NotSelected",0.183,0.0351,38.29,4.659,4,0.585130171,1.03788677,1.099290523
"105PS0276","9/22/2009",1,41.9900047,-120.81078,"Arid","DM","Cal","Selected",0.204,0.0476,25.49,2.098,1,0.565416422,1.01619282,1.033151891
"105PS0540","8/5/2010",1,41.62002,-122.0692,"Arid","DM","Cal","Selected",0.186,0.0381,4.02,0.414,1,1.130116493,0.553453333,0.748550089
"105PS0540","9/15/2010",1,41.62002,-122.0692,"Arid","DM","Cal","NotSelected",0.154,0.0272,5.71,0.976,10,0.977970887,0.561533266,0.819114997
"105PS1404","8/28/2013",1,41.92436523,-122.3888787,"Arid","DM","Cal","Selected",0.601,0.0774,5.49,0.231,0,1.07621156,0.962083643,0.859840214
"105PS1404","8/28/2013",2,41.92436523,-122.3888787,"Arid","DM","Cal","Selected",0.601,0.0774,5.49,0.231,0,1.040996401,0.956022494,0.898539481
"106FCA036","7/15/2013",1,40.8012662,-122.92964,"Wet","NC","Val","Selected",0,0.0058,2.73,0,NA,0.739712336,1.100018341,1.170826526
"106PS0106","9/8/2009",1,40.8118785,-123.11906,"Wet","NC","Val","Selected",0.0657,0.0084,15.39,0.702,0,1.1551547,0.991039458,0.988948732
"106PS0106","9/8/2009",2,40.8118785,-123.11906,"Wet","NC","Val","Selected",0.0657,0.0084,15.39,0.702,0,1.160208651,0.9796582,0.973409639
"106PS0122","9/20/2010",1,41.1122723,-122.86482,"Wet","NC","Cal","Selected",0.0995,0,3.82,0.286,8,1.004383491,1.076280174,1.020296681
"106PS0142","7/19/2010",1,40.458489,-123.16704,"Wet","NC","Cal","Selected",0.107,0.0252,18.14,0.792,17,1.025917267,0.891062693,0.840788901
"107GWCAPC","9/15/2010",1,41.36794,-124.0242,"Wet","NC","Cal","Selected",0.0616,0.0241,8.08,0.202,3,1.045966426,1.126797986,1.045924361
"107RWCBHW","8/3/2011",1,41.1966306,-123.99642,"Wet","NC","Cal","Selected",0.158,0.0102,3.12,0.416,0,0.888615297,0.866106766,0.92952198
"107RWCBHW","8/3/2011",2,41.1966306,-123.99642,"Wet","NC","Cal","Selected",0.158,0.0102,3.12,0.416,0,1.000174469,0.698531829,0.856627714
"108PS0197","8/16/2012",1,41.1758895,-124.08516,"Wet","NC","Cal","Selected",0.131,0.0169,3.7,5.98,0,0.872063505,0.995031225,1.000121894
"110PS0114","7/21/2010",1,40.68793,-124.05051,"Wet","NC","Cal","Selected",0.188,0.0339,11.87,0.603,4,0.971249744,0.866225496,0.819647492
"110SMCATH","7/27/2011",1,40.6386718,-124.10349,"Wet","NC","Cal","Selected",0.0848,0.0261,4.76,0.343,3,1.052807995,0.751414879,1.051234429
"111FC1098","6/10/2014",1,39.7573889,-123.7248396,"Wet","NC","Cal","Selected",0.0606,0.0274,18.2,0.348,NA,1.002954753,0.955805654,0.846864596
"111FCA207","7/23/2013",1,40.1071607,-123.79689,"Wet","NC","Cal","Selected",0.166,0.03,5.06,0,NA,0.682647801,0.896094858,0.763938166
"111PS0095","8/27/2009",1,39.7889376,-123.73564,"Wet","NC","Cal","Selected",0.192,0.0331,14.29,0.6,8,1.036384122,0.95606496,1.040517062
"111PS0095","8/27/2009",2,39.7889376,-123.73564,"Wet","NC","Cal","Selected",0.192,0.0331,14.29,0.6,8,1.067691442,0.991719909,1.009567618
"111PS0159","7/14/2011",1,39.7998206,-123.65584,"Wet","NC","Cal","Selected",0.283,0.0148,6.93,0.289,32,0.755732059,0.846912451,0.815380374
"111PS0169","7/25/2011",1,40.5829325,-123.98764,"Wet","NC","Cal","Selected",0.124,0.0152,5.91,0.577,7,1.141075635,0.802128908,0.939305209
"111PS0169","7/25/2011",2,40.5829325,-123.98764,"Wet","NC","Cal","Selected",0.124,0.0152,5.91,0.577,7,0.884310095,0.933878156,0.93666971
"111PS0178","8/14/2012",1,40.6800425,-123.95064,"Wet","NC","Cal","Selected",0.114,0.0156,11.8,0.352,9,1.00493923,0.955925813,0.844505255
"112PS0157","7/12/2011",1,40.2318936,-124.11228,"Wet","NC","Cal","Selected",0.0585,0.0225,3.07,0.188,41,0.870649367,1.077790732,1.094006106
"113GAR011","8/22/2011",1,38.891405,-123.4558,"Wet","NC","Cal","Selected",0,0.0462,20.02,1.01,4,0.954228741,1.036006069,1.014756522
"113GAR015","8/23/2011",1,38.8931351,-123.50899,"Wet","NC","Cal","Selected",0,0.0284,19.76,1.796,15,0.805054902,0.840801685,0.709802623
"113GAR015","9/9/2013",1,38.8931351,-123.50899,"Wet","NC","Cal","NotSelected",0.0732,0.0216,62.7,4,59,0.597473652,1.039634754,0.895769456
"113GAR030","8/28/2012",1,38.8701823,-123.56664,"Wet","NC","Val","Selected",0.0509,0.0305,66.3,12.7,30,0.759163544,0.847111124,0.754189486
"113GAR062","8/27/2012",1,38.8596418,-123.54839,"Wet","NC","Cal","Selected",0.0605,0.0355,26.3,2.53,26,0.933993484,0.786547623,0.733079311
"113GAR087","6/29/2010",1,38.9081323,-123.48967,"Wet","NC","Cal","NotSelected",0.189,0.0265,206.83,3.186,24,0.790540055,0.936427854,1.032428185
"113GAR087","9/11/2012",1,38.9081323,-123.48967,"Wet","NC","Cal","NotSelected",0.162,0.0305,96.5,4.82,33,0.807167746,0.909182807,0.937191279
"113GAR087","8/6/2013",1,38.9081323,-123.48967,"Wet","NC","Cal","Selected",0.0893,0.0199,109,7.11,63,0.817835271,0.987300559,0.896142182
"113GAR089","6/14/2010",1,38.9081704,-123.35105,"Wet","NC","Cal","NotSelected",0.0615,0.0251,8.72,1.395,4,1.138765205,0.893276278,0.883749409
"113GAR089","6/20/2011",1,38.9081704,-123.35105,"Wet","NC","Cal","Selected",0.143,0.0237,16.56,0.808,18,1.112459038,1.032895118,0.952003605
"113GAR105","6/14/2010",1,38.8995896,-123.39059,"Wet","NC","Cal","Selected",0.056,0.0276,52.78,1.689,46,1.097335831,0.807941159,0.806090967
"113GAR105","6/20/2011",1,38.8995896,-123.39059,"Wet","NC","Cal","NotSelected",0.155,0.0258,138.4,2.443,NA,1.097216122,1.003567074,0.957248204
"113GAR112","6/15/2010",1,38.9248844,-123.49051,"Wet","NC","Cal","NotSelected",0.0332,0.0402,22.54,1.057,13,1.154893626,0.989286344,0.975243201
"113GAR112","8/22/2011",1,38.9248844,-123.49051,"Wet","NC","Cal","NotSelected",0,0.0458,46.84,0.99,NA,1.083918516,1.013367702,1.017144892
"113GAR112","7/22/2014",1,38.9248844,-123.49051,"Wet","NC","Cal","Selected",0.0908,0.0439,69.2,1.97,NA,0.967166163,0.815934623,0.819641248
"113GAR118","7/26/2010",1,38.8426575,-123.54952,"Wet","NC","Cal","NotSelected",0.0655,0.0503,28.66,1.316,0,1.040785254,0.773038362,0.978425366
"113GAR118","9/10/2012",1,38.8426575,-123.54952,"Wet","NC","Cal","Selected",0.118,0.0435,22.1,0.478,NA,1.11292624,0.735207554,0.904726151
"113GAR178","7/23/2014",1,38.8749038,-123.49378,"Wet","NC","Cal","NotSelected",0.0811,0.0573,138,3.22,6,1.177504079,1.14828327,1.056031321
"113GAR178","6/21/2011",1,38.8749038,-123.49378,"Wet","NC","Cal","NotSelected",0.0956,0.0544,69.26,1.039,12,1.036955982,1.156146439,1.110892549
"113GAR178","9/9/2013",1,38.8749038,-123.49378,"Wet","NC","Cal","Selected",0,0.0646,31.4,1.79,NA,1.229300325,1.166986237,1.139193838
"113GAR178","9/9/2013",2,38.8749038,-123.49378,"Wet","NC","Cal","Selected",0,0.0646,31.4,1.79,NA,1.219677404,1.127112844,1.039640382
"113GAR244","6/28/2010",1,38.9315862,-123.59243,"Wet","NC","Val","NotSelected",0.0635,0.0451,90.5,1.44,2,1.050504569,0.86994112,0.864318252
"113PS0076","8/2/2012",1,38.9363703,-123.50043,"Wet","NC","Cal","NotSelected",0.0816,0.0556,26,0.839,3,1.162954976,1.147467849,1.108269641
"113PS0076","8/22/2012",1,38.9363703,-123.50043,"Wet","NC","Cal","Selected",0.0473,0.0494,8.2,2.29,1,1.103351916,0.908103833,0.92534563
"113PS0120","9/14/2010",1,39.1507359,-123.63595,"Wet","NC","Val","Selected",0.0898,0.0213,90.78,2.322,26,0.77156232,0.548700931,0.634480075
"113PS0168","7/6/2011",1,38.7536289,-123.40457,"Wet","NC","Val","Selected",0.214,0.0335,20.73,0.323,8,0.968203724,1.03773212,1.047764273
"113PS0216","9/3/2013",1,38.51536858,-123.2422148,"Wet","NC","Cal","Selected",0.126,0.0355,20.7,0.749,0,0.925704425,0.928269858,1.079049254
"114AU7778","6/21/2010",1,38.5872353,-123.11801,"Wet","NC","Val","Selected",0.0585,0.0121,30.86,1.484,NA,0.998287411,0.926559945,0.960665753
"114FCA199","8/1/2013",1,38.8296335,-122.90837,"Arid","CH","Cal","Selected",0.381,0,30.8,0.197,NA,0.819558418,1.000119589,0.882668173
"114MA2364","7/6/2010",1,38.6305657,-122.76807,"Arid","CH","Cal","Selected",0.088,0.0176,37.52,3.467,NA,0.998988699,0.816021916,0.707824975
"114PS0088","8/19/2009",1,38.5572989,-123.09358,"Wet","NC","Cal","Selected",0.308,0.0393,14.25,0.62,5,0.692911319,0.856025448,0.834414704
"114PS0209","6/10/2013",1,38.78600112,-123.155201,"Arid","CH","Cal","Selected",0.123,0.014,131,2.44,63,0.629139192,1.109579153,1.022792018
"114PS0229","6/4/2013",1,38.61538062,-122.7839078,"Arid","CH","Val","Selected",0.392,0.0097,15.2,0.347,49,0.839334728,0.632248245,0.512580019
"201LAG380","7/14/2009",1,37.9674509,-122.65414,"Arid","CH","Val","Selected",0.237,0.0808,7.32,0.602,3,1.075647293,0.949854733,1.035881466
"201RDW080","6/2/2010",1,37.8769478,-122.5811,"Arid","CH","Val","Selected",0.114,0.0222,7.02,0.253,3,1.077079401,0.90166743,1.001373795
"205COY140","6/17/2009",1,37.3991061,-121.79693,"Arid","CH","Val","Selected",0.134,0.0362,15.34,0.802,35,0.972122953,0.638398068,0.804280505
"205GCAxxx","7/15/2010",1,37.1815326,-121.87305,"Arid","CH","Val","Selected",0.157,0.013,22.33,0.909,0,1.088194911,0.907208681,1.013272481
"205GCAxxx","7/15/2010",2,37.1815326,-121.87305,"Arid","CH","Val","Selected",0.157,0.013,22.33,0.909,0,1.070920689,0.808177174,0.956141498
"205STE110","7/13/2009",1,37.2864413,-122.12528,"Arid","CH","Val","Selected",0.0574,0.067,3.84,1.032,6,1.127991154,0.989004257,1.042435926
"206RIC100","6/1/2010",1,38.5514306,-122.52171,"Arid","CH","Cal","Selected",0.0814,0.0685,48.48,3.214,8,0.745050095,0.829921274,0.904739061
"206SON300","7/14/2009",1,38.4427022,-122.5307,"Arid","CH","Cal","Selected",0.203,0.125,16.33,0.883,6,0.972091599,0.597284421,0.650258361
"207MTD117","5/24/2010",1,37.9185185,-121.94435,"Arid","CH","Val","Selected",0.0719,0.0115,9.01,0.777,45,0.732286077,1.110033587,1.171480699
"304PS0194","6/18/2012",1,37.1596564,-122.234,"Arid","CH","Cal","Selected",0.606,0.0659,9.74,0.719,0,1.060662994,0.832646701,0.843358433
"304PS0253","5/22/2014",1,37.20195637,-122.1467874,"Arid","CH","Val","Selected",0.146,0.152,15.3,0.642,0,1.006592362,1.011652527,1.015046813
"304PS0253","6/5/2014",1,37.20195637,-122.1467874,"Arid","CH","Val","NotSelected",0.0774,0.152,32.8,1.27,0,0.817732059,0.962737189,0.989692184
"304SPC236","6/28/2010",1,37.1682838,-122.21376,"Arid","CH","Cal","Selected",0.122,0.0591,16.55,4.566,0,0.940052822,0.805925598,0.824048009
"307PS0044","6/8/2009",1,36.5053552,-121.76334,"Arid","CH","Cal","Selected",0.136,0.0198,43.94,1.951,51,0.749521236,0.676003901,0.618613793
"308BGC","6/14/2011",1,36.070003,-121.59998,"Arid","CH","Cal","Selected",0.0805,0.0061,2.16,0.15,10,1.094178449,1.021904452,1.096021397
"308BGC","8/11/2011",1,36.070003,-121.59998,"Arid","CH","Cal","NotSelected",0.3,0.0081,15.95,0.498,5,1.034530281,1.018977993,1.056682082
"308BSU","7/13/2010",1,36.2456,-121.7734,"Arid","CH","Cal","Selected",0.113,0.0183,2.73,0.432,0,0.954186538,0.969835861,1.012034731
"309LAS1MI","6/13/2012",1,36.2289511,-121.49513,"Arid","CH","Val","Selected",0.0821,0.0109,11.3,1.09,8,0.748468167,0.908786506,0.844749847
"309PS0043","6/10/2009",1,35.7589271,-120.8399,"Arid","CH","Val","NotSelected",0.345,0.0177,16.87,0.595,37,0.747709744,0.811013235,0.838974571
"309PS0043","7/8/2009",1,35.7589271,-120.8399,"Arid","CH","Val","Selected",0.198,0.0316,24.55,0.826,42,0.621660504,0.877866015,0.865259643
"309SED071","6/13/2012",1,36.21872,-121.514,"Arid","CH","Val","Selected",0.07,0.0138,28.3,0.706,10,0.850995521,1.024735199,1.037420156
"310OLD","6/15/2010",1,35.4719089,-120.86074,"Arid","CH","Cal","Selected",0.183,0.228,37.88,1.14,14,1.1038836,0.862059746,0.858808096
"310SSU","6/15/2011",1,35.6088713,-121.07764,"Arid","CH","Cal","Selected",0.143,0.0094,5.27,0.303,48,1.091773971,0.998698603,1.027379843
"310SSU","8/11/2011",1,35.6088713,-121.07764,"Arid","CH","Cal","NotSelected",0.142,0.0063,69.93,4.086,92,0.77416078,0.9105687,1.071650215
"314WE1102","6/12/2012",1,34.6956168,-119.91043,"Arid","CH","Cal","Selected",0.134,0.0535,11.1,3.04,0,1.041833637,0.909709607,0.904586679
"315ARH101","6/14/2010",1,34.4818,-120.1406,"Arid","CH","Cal","Selected",0.111,0.0244,77.66,2.431,64,1.138579002,1.235111379,1.296735434
"402SNPMCR","6/18/2014",1,34.50488408,-119.3775053,"Arid","SC","Cal","NotSelected",0,0,25.3165,2.12658,NA,1.030166974,0.766294443,0.755383912
"402SNPMCR","7/8/2014",1,34.50488408,-119.3775053,"Arid","SC","Cal","Selected",0,0.0075,38.8423,4.66108,NA,1.098284963,0.757623713,0.640419397
"402SNPMCR","5/28/2014",1,34.50488408,-119.3775053,"Arid","SC","Cal","NotSelected",0,0.0017,34.1408,3.29068,NA,0.945717331,0.663069012,0.52857423
"402SNPMCR","7/29/2014",1,34.50488408,-119.3775053,"Arid","SC","Cal","NotSelected",0,0.0044,24.8923,1.47666,NA,0.963543679,0.82484219,0.768948999
"403BA0027","6/18/2014",1,34.6629638,-119.05229,"Arid","SC","Val","Selected",0.0678,0.0071,42.3,4.09,15,0.916535931,1.004101198,0.960319156
"403BA0136","6/17/2014",1,34.5114202,-118.45102,"Arid","SC","Val","NotSelected",0.0673,0.0321,4.62,1.69,1,0.796901969,0.801701855,0.809944365
"403BA0191","7/12/2010",1,34.36761,-119.0538,"Arid","SC","Cal","Selected",1.5,0.0048,47.90323,10.01613,27,0.942831497,0.969961507,0.915908084
"403FCA022","5/29/2013",1,34.3558321,-119.02335,"Arid","SC","Val","Selected",2.25,0.0273,40.7,0.749,NA,0.668661765,0.374723998,0.53211574
"403PRCAGH","6/2/2011",1,34.6947465,-118.92046,"Arid","SC","Cal","Selected",0.24,0.0159,48.63,2.584,16,0.987805738,0.690416085,0.828205315
"403S00640","6/11/2009",1,34.60068,-118.5587,"Arid","SC","Cal","Selected",0.269,0.0251,12.99,1.408,2,0.901521731,0.893450353,0.994057217
"403S00640","6/11/2009",2,34.60068,-118.5587,"Arid","SC","Cal","Selected",0.269,0.0251,12.99,1.408,2,0.8443337,0.81948851,0.856868802
"403S00772","5/20/2009",1,34.41463,-118.9288,"Arid","SC","Cal","Selected",0.379,0.0096,39.07,3.366,46,1.002928099,0.919885577,1.040606486
"403S00831","6/10/2010",1,34.43047,-118.8318,"Arid","SC","Val","Selected",0.429,0.0247,30.52,1.896,57,0.500891709,0.839555453,0.766520095
"403S01136","6/13/2011",1,34.6276219,-118.74403,"Arid","SC","Cal","Selected",0.586,0.0493,30.1,0.555,35,1.040426558,0.399002692,0.519000911
"403S01163","6/8/2009",1,34.69859,-118.8648,"Arid","SC","Cal","Selected",0.126,0.0115,13.82,4.447,23,1.118963309,0.715809578,0.787969193
"403S01195","6/10/2009",1,34.55836,-119.2677,"Arid","SC","Cal","Selected",0.129,0.0142,33.18,5.41,22,0.832135524,0.735243461,0.84830136
"403S01272","6/9/2009",1,34.40304,-118.6912,"Arid","SC","Val","Selected",1.84,0.194,135.53,5.317,61,0.913221746,0.668706945,0.848795376
"403S01707","6/7/2010",1,34.59836,-119.348,"Arid","SC","Cal","Selected",0.214,0.0388,58.93,7.159,55,0.727717696,0.78410846,0.952859312
"403S01728","7/13/2011",1,34.574901,-118.46002,"Arid","SC","Cal","Selected",0.311,0.0169,60,8.667,72,1.23353872,0.695762467,0.876075759
"403S02363","6/16/2011",1,34.5588552,-119.15457,"Arid","SC","Cal","Selected",0.203,0.0106,6.93,1.8,19,1.075512731,0.709729409,0.640253107
"403S02764","6/14/2011",1,34.4477819,-118.7549,"Arid","SC","Cal","Selected",1.31,0.0416,49.41,2.301,44,0.822428756,0.469279664,0.463699368
"403S04600","6/8/2010",1,34.39724,-118.7104,"Arid","SC","Cal","Selected",2.2,0.377,314.9,5.859,38,0.82910288,0.462454967,0.58221614
"403S06139","6/27/2012",1,34.5546318,-119.24049,"Arid","SC","Cal","Selected",0.208,0.0077,17.6,2.95,26,0.510415908,0.737287643,0.844394656
"403S06283","6/13/2012",1,34.6938801,-118.86075,"Arid","SC","Cal","Selected",0.0958,0.0123,28.3,5.21,25,1.1806785,0.70981162,0.704973877
"403S06660","6/14/2012",1,34.4296395,-118.92374,"Arid","SC","Cal","Selected",0.349,0.0088,35.2,2.18,10,0.963486928,0.86609395,0.758524624
"403S06660","6/14/2012",2,34.4296395,-118.92374,"Arid","SC","Cal","Selected",0.349,0.0088,35.2,2.18,10,1.091652292,0.756003642,0.655873052
"403S06904","6/9/2010",1,34.41968,-118.7876,"Arid","SC","Cal","Selected",0.353,0.0373,59.9,5.693,47,0.795985882,0.344028147,0.556262477
"403S07024","6/13/2012",1,34.6091998,-118.75772,"Arid","SC","Cal","Selected",0.339,0.0293,79.5,3.52,49,0.349991727,0.720168482,0.766180427
"403S07227","6/27/2012",1,34.5620828,-119.16664,"Arid","SC","Val","Selected",0.379,0.0237,14.1,2.54,30,0.672976228,1.034922372,1.097028106
"403S15608","6/8/2010",1,34.4019,-118.7005,"Arid","SC","Cal","Selected",2.32,0.418,92.46,11.468,30,0.784641328,0.547172827,0.590773745
"403S16332","6/26/2013",1,34.53173,-118.7581,"Arid","SC","Val","Selected",0.0213,0.016,10.8,6.4,60,0.618133013,0.865648351,0.981767944
"403S18093","6/24/2013",1,34.69442,-118.8565,"Arid","SC","Val","Selected",0.0981,0.0135,66.6,5.46,41,0.989147977,0.888924747,0.916931858
"403S18093","6/24/2013",2,34.69442,-118.8565,"Arid","SC","Val","Selected",0.0981,0.0135,66.6,5.46,41,0.905163449,0.8850617,0.942267405
"404BA1166","6/4/2009",1,34.0374964,-118.74963,"Arid","SC","Cal","Selected",0.219,0.0267,44.16,3.319,29,1.050829639,0.897262924,0.90687473
"404S01128","6/3/2014",1,34.10397,-118.7127,"Arid","SC","Cal","Selected",6,0.204,116,4.72,34,0.566172145,0.496187782,0.560761124
"404S01128","6/23/2010",1,34.10397,-118.7127,"Arid","SC","Cal","NotSelected",4.98,0.194,314.91,8.625,18,0.613587135,0.501155736,0.564218744
