,SampleID2,SampleID,StationCode,SampleDate,Replicate,SampleType,D_ValveCount,S_EntityCount,S_Biovolume,D_NumberTaxa,S_NumberTaxa,H_NumberTaxa,UnrecognizedTaxa,D_ASCI,S_ASCI,H_ASCI,Comments,version_number,RefCalVal,SiteSetSample2
15,103WER030_08/10/11_1,103WER030_8/10/11_1,103WER030,8/10/2011,1,"Microalgae, Integrated",222,0,5791.442,11,2,13,NA,1.088985602,0.497261704,1.059428456,,2.5.2,Val,Reference
16,105BVCAGC_09/21/10_1,105BVCAGC_9/21/10_1,105BVCAGC,9/21/2010,1,"Microalgae, Integrated",600,0,1411828.34,9,10,19,NA,1.098453476,1.064668319,1.04352132,,2.5.2,Cal,Reference
17,105CE0329_07/23/14_1,105CE0329_7/23/14_1,105CE0329,7/23/2014,1,"Epiphyte, Integrated, Microalgae, Macroalgae",600,3,5051824.134,33,17,50,NA,0.963399091,1.112595295,0.927301844,,2.5.2,Cal,Reference
18,105CLCATC_08/10/10_1,105CLCATC_8/10/10_1,105CLCATC,8/10/2010,1,"Macroalgae, Microalgae, Epiphyte, Integrated",600,100,2975474796,15,17,32,NA,1.166298522,1.121765264,1.139373173,,2.5.2,Cal,Reference
19,105CR0901_07/23/14_1,105CR0901_7/23/14_1,105CR0901,7/23/2014,1,Integrated,609,0,0,22,0,22,NA,0.826594084,NA,NA,Warning - Only Diatom data present,2.5.2,,NA
20,105CR0901_08/11/14_1,105CR0901_8/11/14_1,105CR0901,8/11/2014,1,Integrated,603,0,0,41,0,41,NA,0.788916067,NA,NA,Warning - Only Diatom data present,2.5.2,,NA
21,105CR0906_08/12/14_1,105CR0906_8/12/14_1,105CR0906,8/12/2014,1,Integrated,600,0,0,48,0,48,NA,0.748742027,NA,NA,Warning - Only Diatom data present,2.5.2,,NA
22,105CR0908_07/22/14_1,105CR0908_7/22/14_1,105CR0908,7/22/2014,1,Integrated,607,0,0,30,0,30,NA,0.794243205,NA,NA,Warning - Only Diatom data present,2.5.2,,NA
23,105CR0913_08/12/14_1,105CR0913_8/12/14_1,105CR0913,8/12/2014,1,Integrated,602,0,0,47,0,47,NA,0.58605744,NA,NA,Warning - Only Diatom data present,2.5.2,,NA
24,105CR1004_07/23/14_1,105CR1004_7/23/14_1,105CR1004,7/23/2014,1,Integrated,603,0,0,26,0,26,NA,0.757247289,NA,NA,Warning - Only Diatom data present,2.5.2,,NA
25,105DLCDCC_05/19/09_1,105DLCDCC_5/19/09_1,105DLCDCC,5/19/2009,1,"Microalgae, Integrated",600,0,86385.13,18,3,21,NA,1.083044092,0.578184977,0.970823961,,2.5.2,,Reference
26,105DLCDCC_06/23/09_1,105DLCDCC_6/23/09_1,105DLCDCC,6/23/2009,1,"Microalgae, Integrated",600,0,4284188.2,25,7,32,NA,0.835234459,1.049558529,0.851826961,,2.5.2,,Reference
27,105DLCDCC_08/05/09_1,105DLCDCC_8/5/09_1,105DLCDCC,8/5/2009,1,"Microalgae, Macroalgae, Epiphyte, Integrated",600,100,30389343.67,30,10,40,NA,0.940264338,0.918549395,0.86345933,,2.5.2,,Reference
28,105DLCDCC_09/15/09_1,105DLCDCC_9/15/09_1,105DLCDCC,9/15/2009,1,"Macroalgae, Microalgae, Epiphyte, Integrated",600,101,64510664.4,17,8,25,NA,0.988422534,1.024672682,1.008198962,,2.5.2,,Reference
29,105DLCDCC_10/20/09_1,105DLCDCC_10/20/09_1,105DLCDCC,10/20/2009,1,"Microalgae, Integrated",600,0,19840411,14,7,21,NA,0.980900704,1.188763233,1.073666531,,2.5.2,Cal,Reference
30,105FC1116_08/05/14_1,105FC1116_8/5/14_1,105FC1116,8/5/2014,1,"Microalgae, Macroalgae, Epiphyte, Integrated",594,100,14451180537,40,53,93,NA,1.194069511,1.087958109,1.14339888,,2.5.2,,NA
31,105FC1120_07/30/14_1,105FC1120_7/30/14_1,105FC1120,7/30/2014,1,"Microalgae, Macroalgae, Integrated",602,0,5858863.975,43,9,52,NA,1.023254934,1.212932045,1.05652518,,2.5.2,,NA
32,105FC1297_07/22/14_1,105FC1297_7/22/14_1,105FC1297,7/22/2014,1,"Microalgae, Macroalgae, Integrated",607,0,2925249492,32,7,39,NA,1.031213649,1.056477558,1.103470818,,2.5.2,,NA
33,105FCA116_07/16/13_1,105FCA116_7/16/13_1,105FCA116,7/16/2013,1,"Microalgae, Integrated",600,0,836.2895136,14,3,17,NA,1.039781818,0,0.996152039,,2.5.2,Cal,Reference
34,105FS0416_09/24/13_1,105FS0416_9/24/13_1,105FS0416,9/24/2013,1,"Microalgae, Integrated",600,0,10572210.17,28,10,38,NA,0.982362397,0.709435358,0.865632132,,2.5.2,Cal,Reference
35,105FS0425_08/10/11_1,105FS0425_8/10/11_1,105FS0425,8/10/2011,1,"Microalgae, Macroalgae, Integrated",687,0,32702577.86,11,23,34,NA,1.146578381,1.209255622,1.125749861,,2.5.2,Cal,Reference
36,105FS0428_08/03/11_1,105FS0428_8/3/11_1,105FS0428,8/3/2011,1,"Microalgae, Integrated",612,0,308435.55,13,7,20,NA,0.921370877,1.112634039,0.98805794,,2.5.2,Cal,Reference
37,105NWC151_06/26/13_1,105NWC151_6/26/13_1,105NWC151,6/26/2013,1,"Macroalgae, Microalgae, Integrated",601,0,3814873104,44,41,85,NA,1.018996907,1.09691555,1.000647665,,2.5.2,Cal,Reference
38,105PS0028_08/12/08_1,105PS0028_8/12/08_1,105PS0028,8/12/2008,1,"Microalgae, Integrated",600,0,2135973.04,39,7,46,NA,0.755926031,1.188763233,0.918814583,,2.5.2,,Intermediate
39,105PS0028_08/26/08_1,105PS0028_8/26/08_1,105PS0028,8/26/2008,1,"Microalgae, Epiphyte, Macroalgae, Integrated",722,100,2905385975,51,10,61,NA,1.030822685,1.23906917,0.991482618,,2.5.2,,Intermediate
40,105PS0043_09/17/08_1,105PS0043_9/17/08_1,105PS0043,9/17/2008,1,"Microalgae, Integrated",632,0,7457459.19,28,9,37,NA,0.864827885,1.016638394,0.862769214,,2.5.2,Cal,Reference
41,105PS0067_08/24/09_1,105PS0067_8/24/09_1,105PS0067,8/24/2009,1,"Microalgae, Integrated",600,0,137320.222,9,6,15,NA,0.773582438,0.91168534,0.895593859,,2.5.2,,Intermediate
42,105PS0067_08/24/09_2,105PS0067_8/24/09_2,105PS0067,8/24/2009,2,"Microalgae, Integrated",600,0,39621.5263,11,4,15,NA,0.619294582,0.713259878,0.770454452,,2.5.2,,Intermediate
43,105PS0067_09/15/09_1,105PS0067_9/15/09_1,105PS0067,9/15/2009,1,"Microalgae, Integrated",600,0,167263.3171,9,6,15,NA,0.633035675,0.84833478,0.756797948,,2.5.2,,Intermediate
44,105PS0069_08/18/09_1,105PS0069_8/18/09_1,105PS0069,8/18/2009,1,"Microalgae, Integrated",600,0,18327.3872,11,3,14,NA,0.788494394,0.704335997,0.832216111,,2.5.2,,Intermediate
45,105PS0083_09/08/09_1,105PS0083_9/8/09_1,105PS0083,9/8/2009,1,"Microalgae, Integrated",600,0,13135158.36,24,12,36,NA,1.099896222,1.147200926,1.080351167,,2.5.2,Cal,Reference
46,105PS0090_08/07/12_1,105PS0090_8/7/12_1,105PS0090,8/7/2012,1,"Microalgae, Macroalgae, Integrated",600,0,191398360.2,29,7,36,NA,1.048092408,0.91141029,0.948790843,,2.5.2,Val,Reference
47,105PS0090_08/25/09_1,105PS0090_8/25/09_1,105PS0090,8/25/2009,1,"Microalgae, Integrated",600,0,910725.0288,13,9,22,NA,0.994183885,0.760566511,0.895675161,,2.5.2,,Reference
48,105PS0092_08/11/08_1,105PS0092_8/11/08_1,105PS0092,8/11/2008,1,"Microalgae, Epiphyte, Macroalgae, Integrated",741,94,2180358068,41,11,52,NA,1.017983601,1.066436191,0.926172558,,2.5.2,,Intermediate
49,105PS0097_07/22/14_1,105PS0097_7/22/14_1,105PS0097,7/22/2014,1,"Epiphyte, Integrated, Macroalgae, Microalgae",600,26,32057837.96,27,18,45,NA,0.881503562,1.100790202,0.923502502,,2.5.2,Cal,Reference
50,105PS0097_09/08/09_1,105PS0097_9/8/09_1,105PS0097,9/8/2009,1,"Epiphyte, Integrated, Macroalgae, Microalgae",600,100,7013407.55,20,14,34,NA,1.040053555,1.14471787,1.054442515,,2.5.2,,Reference
51,105PS0097_09/08/09_2,105PS0097_9/8/09_2,105PS0097,9/8/2009,2,"Integrated, Microalgae",600,0,12354553.9,20,10,30,NA,0.938367936,1.097251326,0.965920962,,2.5.2,,Reference
52,105PS0107_09/14/09_1,105PS0107_9/14/09_1,105PS0107,9/14/2009,1,"Microalgae, Integrated",600,0,14939530.3,20,9,29,NA,1.037076597,0.795633193,1.022439361,,2.5.2,,Intermediate
53,105PS0129_08/11/10_1,105PS0129_8/11/10_1,105PS0129,8/11/2010,1,"Microalgae, Integrated",600,0,14939509.23,24,14,38,NA,0.959876605,1.316783061,1.047479852,,2.5.2,,Intermediate
54,105PS0129_08/11/10_2,105PS0129_8/11/10_2,105PS0129,8/11/2010,2,"Microalgae, Integrated",600,0,8988476.247,32,14,46,NA,0.98545562,1.316783061,1.019699542,,2.5.2,,Intermediate
55,105PS0149_08/29/12_1,105PS0149_8/29/12_1,105PS0149,8/29/2012,1,"Microalgae, Integrated",600,0,1520390.53,15,11,26,NA,0.999889665,1.066436191,0.989191587,,2.5.2,,Intermediate
56,105PS0154_08/09/11_1,105PS0154_8/9/11_1,105PS0154,8/9/2011,1,"Microalgae, Macroalgae, Integrated",600,0,8671582143,31,10,41,NA,1.008999548,1.033607175,0.951633893,,2.5.2,Cal,Reference
57,105PS0154_08/09/11_2,105PS0154_8/9/11_2,105PS0154,8/9/2011,2,"Microalgae, Macroalgae, Integrated",600,0,10143097700,22,12,34,NA,1.107656111,1.111620528,1.071828731,,2.5.2,,Reference
58,105PS0188_08/26/08_1,105PS0188_8/26/08_1,105PS0188,8/26/2008,1,"Microalgae, Integrated",685,0,1142.832,58,2,60,NA,0.894910051,0.308035174,0.780052527,,2.5.2,,Stressed
59,105PS0188_08/26/08_2,105PS0188_8/26/08_2,105PS0188,8/26/2008,2,"Microalgae, Integrated",600,0,1217.83,41,1,42,NA,0.907523134,0.704283123,0.792447183,,2.5.2,,Stressed
60,105PS0193_08/29/12_1,105PS0193_8/29/12_1,105PS0193,8/29/2012,1,"Microalgae, Macroalgae, Epiphyte, Integrated",600,100,40698747.13,22,15,37,NA,1.086565469,1.114633576,1.050508009,,2.5.2,Val,Reference
61,105PS0195_08/07/12_1,105PS0195_8/7/12_1,105PS0195,8/7/2012,1,"Microalgae, Integrated",600,0,2380186.44,18,11,29,NA,1.134167047,0.986300543,1.040646549,,2.5.2,Cal,Reference
62,105PS0211_08/20/13_1,105PS0211_8/20/13_1,105PS0211,8/20/2013,1,"Microalgae, Integrated",600,0,71791.0199,21,7,28,NA,0.960654653,0.908485018,1.040616675,,2.5.2,,Intermediate
63,105PS0211_09/16/13_1,105PS0211_9/16/13_1,105PS0211,9/16/2013,1,"Microalgae, Integrated",600,0,2110007.717,16,10,26,NA,1.023982552,1.011420644,1.062837776,,2.5.2,,Intermediate
64,105PS0231_08/29/13_1,105PS0231_8/29/13_1,105PS0231,8/29/2013,1,"Microalgae, Integrated",602,0,356613.4633,32,13,45,NA,0.658912354,1.048415632,0.77657989,,2.5.2,,Intermediate
65,105PS0259_09/17/13_1,105PS0259_9/17/13_1,105PS0259,9/17/2013,1,"Microalgae, Integrated",600,0,3782479.175,19,8,27,NA,0.943216141,0.958030822,0.967847085,,2.5.2,Cal,Reference
66,105PS0267_07/21/14_1,105PS0267_7/21/14_1,105PS0267,7/21/2014,1,"Microalgae, Integrated",600,0,162184333.8,26,8,34,NA,1.058692852,1.051214253,1.0396263,,2.5.2,Cal,Reference
67,105PS0276_09/01/09_1,105PS0276_9/1/09_1,105PS0276,9/1/2009,1,"Microalgae, Macroalgae, Integrated",600,0,294995687.9,38,21,59,NA,1.047880991,1.205859999,1.069322417,,2.5.2,,Intermediate
68,105PS0276_09/22/09_1,105PS0276_9/22/09_1,105PS0276,9/22/2009,1,"Macroalgae, Microalgae, Epiphyte, Integrated",600,100,11595913321,30,41,71,NA,1.085961743,1.200893018,1.060439453,,2.5.2,,Intermediate
69,105PS0468_09/01/09_1,105PS0468_9/1/09_1,105PS0468,9/1/2009,1,"Macroalgae, Microalgae, Integrated",600,0,11477470467,17,46,63,NA,1.090745916,1.134511675,1.100480949,,2.5.2,Cal,Reference
70,105PS0540_08/05/10_1,105PS0540_8/5/10_1,105PS0540,8/5/2010,1,"Microalgae, Macroalgae, Integrated",600,0,30062885.1,31,9,40,NA,0.63007879,1.254007053,0.774830547,,2.5.2,,Intermediate
71,105PS0540_09/15/10_1,105PS0540_9/15/10_1,105PS0540,9/15/2010,1,"Microalgae, Macroalgae, Integrated",600,0,33380774.23,31,2,33,NA,0.651996406,0.849403265,0.852866488,,2.5.2,Val,Reference
72,105PS0660_08/03/10_1,105PS0660_8/3/10_1,105PS0660,8/3/2010,1,"Microalgae, Epiphyte, Macroalgae, Integrated",600,100,98610166.28,39,41,80,NA,0.966425216,1.126642858,0.931868246,,2.5.2,Cal,Reference
73,105PS0660_08/03/10_2,105PS0660_8/3/10_2,105PS0660,8/3/2010,2,"Microalgae, Epiphyte, Macroalgae, Integrated",590,100,2900090420,35,40,75,NA,1.135723815,1.076671684,1.030116864,,2.5.2,,Reference
74,105PS1148_09/18/12_1,105PS1148_9/18/12_1,105PS1148,9/18/2012,1,"Macroalgae, Microalgae, Epiphyte",0,100,2899264273,0,22,22,NA,NA,1.194783311,NA,Warning - Only Soft Body data present,2.5.2,,Intermediate
75,105PS1404_08/28/13_1,105PS1404_8/28/13_1,105PS1404,8/28/2013,1,"Microalgae, Macroalgae, Epiphyte, Integrated",600,100,865908473.8,28,14,42,NA,0.99638145,0.807873143,0.873355878,,2.5.2,,Intermediate
76,105PS1404_08/28/13_2,105PS1404_8/28/13_2,105PS1404,8/28/2013,2,"Microalgae, Integrated",601,0,41394.29065,25,5,30,NA,0.956022494,0.704335997,0.898539481,,2.5.2,,Intermediate
77,105PS1492_08/06/14_1,105PS1492_8/6/14_1,105PS1492,8/6/2014,1,"Macroalgae, Microalgae, Epiphyte, Integrated",445,100,4331226596,51,59,110,NA,0.90005866,1.14852498,0.850028518,,2.5.2,Val,Reference
78,105TMCACC_08/10/10_1,105TMCACC_8/10/10_1,105TMCACC,8/10/2010,1,"Microalgae, Integrated",600,0,500957.969,13,8,21,NA,1.116135581,0.99944568,1.038376005,,2.5.2,Cal,Reference
79,105WE0598_07/24/14_1,105WE0598_7/24/14_1,105WE0598,7/24/2014,1,"Integrated, Microalgae",600,0,613146.378,26,10,36,NA,0.939117231,1.011420644,0.908193756,,2.5.2,Cal,Reference
80,105WLC135_06/26/13_1,105WLC135_6/26/13_1,105WLC135,6/26/2013,1,"Microalgae, Integrated",601,0,144124998.3,45,39,84,NA,0.943696765,1.025295807,0.889290342,,2.5.2,Cal,Reference
81,105WLCABC_08/03/11_1,105WLCABC_8/3/11_1,105WLCABC,8/3/2011,1,"Microalgae, Integrated",604,0,1471522.044,13,8,21,NA,0.887456027,1.003907621,0.921978972,,2.5.2,Cal,Reference
82,106FC1183_07/24/14_1,106FC1183_7/24/14_1,106FC1183,7/24/2014,1,"Microalgae, Integrated",601,0,4511.93611,31,2,33,NA,0.943956382,0.497261704,0.870349385,,2.5.2,,Stressed
83,106FC1313_07/23/14_1,106FC1313_7/23/14_1,106FC1313,7/23/2014,1,"Microalgae, Integrated",600,0,134980.1567,41,6,47,NA,1.171658467,0.732022745,1.120331148,,2.5.2,,Stressed
84,106FCA036_07/15/13_1,106FCA036_7/15/13_1,106FCA036,7/15/2013,1,"Microalgae, Integrated",600,0,311636.2028,19,4,23,NA,1.052395894,0.880406777,1.107697505,,2.5.2,,Intermediate
85,106FS0040_08/30/11_1,106FS0040_8/30/11_1,106FS0040,8/30/2011,1,"Microalgae, Integrated",646,0,36823.1145,11,6,17,NA,0.98299767,0.84833478,0.962181101,,2.5.2,Cal,Reference
86,106HLCACC_09/23/13_1,106HLCACC_9/23/13_1,106HLCACC,9/23/2013,1,"Microalgae, Integrated",601,0,2995980.699,20,13,33,NA,0.829255611,0.995167956,0.843005257,,2.5.2,,Intermediate
87,106MNCAHC_10/01/08_1,106MNCAHC_10/1/08_1,106MNCAHC,10/1/2008,1,"Microalgae, Integrated",644,0,29729.638,24,4,28,NA,0.889504447,0.754255757,0.954003289,,2.5.2,Val,Reference
88,106MNCAHC_10/01/08_2,106MNCAHC_10/1/08_2,106MNCAHC,10/1/2008,2,"Microalgae, Integrated",599,0,16393.573,15,4,19,NA,1.020805316,0.754255757,1.051148069,,2.5.2,,Reference
89,106PS0022_09/30/08_1,106PS0022_9/30/08_1,106PS0022,9/30/2008,1,"Microalgae, Integrated",600,0,6708.62,14,2,16,NA,0.614073956,0.497261704,0.65030392,,2.5.2,,Intermediate
90,106PS0051_09/16/08_1,106PS0051_9/16/08_1,106PS0051,9/16/2008,1,"Macroalgae, Epiphyte, Microalgae, Integrated",606,100,1806149119,17,16,33,NA,0.874465357,1.131352866,0.914172018,,2.5.2,,Intermediate
91,106PS0051_09/16/08_2,106PS0051_9/16/08_2,106PS0051,9/16/2008,2,"Macroalgae, Microalgae, Epiphyte, Integrated",600,100,2166620078,15,11,26,NA,1.184998715,1.104756472,1.192670183,,2.5.2,,Intermediate
92,106PS0078_08/26/09_1,106PS0078_8/26/09_1,106PS0078,8/26/2009,1,"Macroalgae, Microalgae, Epiphyte, Integrated",600,100,5821165161,26,19,45,NA,1.133385985,1.208475257,1.13630742,,2.5.2,,Stressed
93,106PS0106_09/08/09_1,106PS0106_9/8/09_1,106PS0106,9/8/2009,1,"Microalgae, Integrated",600,0,104805116.8,17,12,29,NA,1.031233808,0.997074974,1.005743345,,2.5.2,,Intermediate
94,106PS0106_09/08/09_2,106PS0106_9/8/09_2,106PS0106,9/8/2009,2,"Microalgae, Integrated",600,0,5776834.786,13,10,23,NA,0.927812731,1.008813026,0.95025343,,2.5.2,,Intermediate
95,106PS0115_09/21/10_1,106PS0115_9/21/10_1,106PS0115,9/21/2010,1,"Microalgae, Macroalgae, Integrated",600,0,57515749.16,14,10,24,NA,1.077157171,0.994240007,0.995087831,,2.5.2,Cal,Reference
96,106PS0122_09/20/10_1,106PS0122_9/20/10_1,106PS0122,9/20/2010,1,"Microalgae, Macroalgae, Integrated",600,0,39385008.09,21,14,35,NA,1.088092877,1.156452781,1.029283395,,2.5.2,,Intermediate
97,106PS0124_08/16/10_1,106PS0124_8/16/10_1,106PS0124,8/16/2010,1,"Microalgae, Macroalgae, Integrated",600,0,40638180.75,17,9,26,NA,0.992278075,1.058688734,0.971620588,,2.5.2,Cal,Reference
98,106PS0142_07/19/10_1,106PS0142_7/19/10_1,106PS0142,7/19/2010,1,"Macroalgae, Microalgae, Integrated",600,0,45773692.2,40,11,51,NA,0.919054705,0.998046908,0.841692959,,2.5.2,,Intermediate
99,106PS0166_08/02/11_1,106PS0166_8/2/11_1,106PS0166,8/2/2011,1,"Microalgae, Integrated",600,0,47920.279,21,4,25,NA,0.949685455,0.807873143,0.899269267,,2.5.2,Cal,Reference
100,106PS0173_08/04/11_1,106PS0173_8/4/11_1,106PS0173,8/4/2011,1,"Macroalgae, Microalgae, Integrated",600,0,2890767512,28,12,40,NA,0.986756502,1.240296009,1.005672952,,2.5.2,,Stressed
101,106PS0186_09/26/12_1,106PS0186_9/26/12_1,106PS0186,9/26/2012,1,"Microalgae, Integrated",600,0,207124.2,18,6,24,NA,1.095156198,0.713259878,1.024454879,,2.5.2,,Stressed
102,106PS0206_10/03/12_1,106PS0206_10/3/12_1,106PS0206,10/3/2012,1,"Microalgae, Macroalgae, Integrated",600,0,4714898202,21,19,40,NA,0.938312006,1.215196095,0.976184167,,2.5.2,,Intermediate
103,106PTCAHC_09/02/08_1,106PTCAHC_9/2/08_1,106PTCAHC,9/2/2008,1,"Microalgae, Epiphyte, Macroalgae, Integrated",600,100,693030227.6,34,17,51,NA,0.915095711,1.213888534,0.959094564,,2.5.2,,Intermediate
104,106WE0505_07/21/14_1,106WE0505_7/21/14_1,106WE0505,7/21/2014,1,"Integrated, Macroalgae, Microalgae, Epiphyte",600,34,8.88E+13,24,25,49,NA,1.095779243,1.061345444,1.015209186,,2.5.2,Cal,Reference
105,106WE1079_08/08/12_1,106WE1079_8/8/12_1,106WE1079,8/8/2012,1,"Microalgae, Epiphyte, Macroalgae, Integrated",600,100,29346164.81,28,16,44,NA,0.993146001,1.046723791,0.967639242,,2.5.2,Cal,Reference
106,106WER011_09/11/13_1,106WER011_9/11/13_1,106WER011,9/11/2013,1,"Microalgae, Epiphyte, Macroalgae, Integrated",600,100,870885005.3,19,13,32,NA,1.191972315,1.211870456,1.18041714,,2.5.2,Val,Reference
107,106WER016_05/18/09_1,106WER016_5/18/09_1,106WER016,5/18/2009,1,"Microalgae, Integrated",600,0,45994389.79,22,13,35,NA,1.043017292,1.227272825,1.130529425,,2.5.2,,Reference
108,106WER016_06/22/09_1,106WER016_6/22/09_1,106WER016,6/22/2009,1,"Microalgae, Integrated",600,0,1876199.016,24,6,30,NA,1.018954833,1.02906586,1.081655622,,2.5.2,,Reference
109,106WER016_08/04/09_1,106WER016_8/4/09_1,106WER016,8/4/2009,1,"Epiphyte, Microalgae, Macroalgae, Integrated",600,100,3057389987,19,6,25,NA,1.091951267,1.200476341,1.19148988,,2.5.2,,Reference
110,106WER016_09/16/09_1,106WER016_9/16/09_1,106WER016,9/16/2009,1,"Microalgae, Integrated",600,0,16825874.3,24,17,41,NA,1.119030459,1.217566757,1.141207709,,2.5.2,,Reference
111,106WER016_10/20/09_1,106WER016_10/20/09_1,106WER016,10/20/2009,1,"Microalgae, Integrated",600,0,6367347.96,20,11,31,NA,1.142197085,1.227233099,1.187465041,,2.5.2,Cal,Reference
112,107GWCAPC_09/15/10_1,107GWCAPC_9/15/10_1,107GWCAPC,9/15/2010,1,"Microalgae, Integrated",600,0,287224.4,13,5,18,NA,1.113432507,0.807873143,1.043265967,,2.5.2,,Intermediate
113,107LLM101_09/13/10_1,107LLM101_9/13/10_1,107LLM101,9/13/2010,1,"Microalgae, Integrated",600,0,161682.11,19,6,25,NA,1.11332318,1.02879081,1.073725929,,2.5.2,Cal,Reference
114,107PS0021_07/14/14_1,107PS0021_7/14/14_1,107PS0021,7/14/2014,1,"Epiphyte, Integrated, Microalgae, Macroalgae",600,74,23371970.45,17,20,37,NA,0.868081796,1.011420644,0.91547012,,2.5.2,Cal,Reference
115,107PS0021_09/03/08_1,107PS0021_9/3/08_1,107PS0021,9/3/2008,1,"Microalgae, Integrated",600,0,126993.43,26,4,30,NA,0.78263767,0.578184977,0.74065642,,2.5.2,,Reference
116,107RWCBHW_08/03/11_1,107RWCBHW_8/3/11_1,107RWCBHW,8/3/2011,1,"Microalgae, Integrated",607,0,7225888.1,19,8,27,NA,0.822500124,1.051214253,0.89264123,,2.5.2,,Intermediate
117,107RWCBHW_08/03/11_2,107RWCBHW_8/3/11_2,107RWCBHW,8/3/2011,2,"Microalgae, Integrated",602,0,941652.9234,13,8,21,NA,0.673396341,1.051214253,0.831159667,,2.5.2,,Intermediate
118,107WER092_08/27/12_1,107WER092_8/27/12_1,107WER092,8/27/2012,1,"Microalgae, Integrated",600,0,2136272.556,15,7,22,NA,0.973110768,1.012022164,0.968312648,,2.5.2,Cal,Reference
119,108PS0197_08/16/12_1,108PS0197_8/16/12_1,108PS0197,8/16/2012,1,"Microalgae, Integrated",83,0,509.765,10,2,12,NA,0.999141912,0,1.000241459,,2.5.2,,Intermediate
120,109PS0162_07/20/11_1,109PS0162_7/20/11_1,109PS0162,7/20/2011,1,"Microalgae, Integrated",600,0,545790301.4,34,11,45,NA,0.814735463,0.773461096,0.750830031,,2.5.2,,Stressed
121,110ECSLSF_07/26/11_1,110ECSLSF_7/26/11_1,110ECSLSF,7/26/2011,1,"Microalgae, Integrated",600,0,644273.03,22,5,27,NA,0.984175309,0.719041601,0.952582521,,2.5.2,,Stressed
122,110FCA102_07/25/13_1,110FCA102_7/25/13_1,110FCA102,7/25/2013,1,"Microalgae, Integrated",600,0,379.788024,31,1,32,NA,0.831129169,0,0.771793519,,2.5.2,,Stressed
