masterid,latitude,longitude,huc,county,psa_lu,comid,psa6c,regionalboardnumber,area_sqkm,new_lat,new_long,site_elev,elev_range,ppt_00_09,maxwd_ws,meanp_ws,minp_ws,sumave_p,xwd_ws,temp_00_09,tmax_ws,atmca,atmmg,atmso4,bdh_ave,kfct_ave,lprem_mean,prmh_ave,ucs_mean,cao_mean,mgo_mean,s_mean,p_mean,urban_2011_ws,urban_2011_5k,urban_2011_1k,ag_2011_ws,ag_2011_5k,ag_2011_1k,code_21_2011_ws,code_21_2011_5k,code_21_2011_1k,roaddens_ws,roaddens_5k,roaddens_1k,paved_int_ws,paved_int_5k,paved_int_1k,invdamdist,mines_5k,MaxW1_HALL,RefStatus,StudyArea
105CR0901,41.3226,-123.5227,105,Humboldt,Forest,4442592,NC,1,27341.3934,41.32251159,-123.5230628,115,4188,132836.0938,12.1084974,816.6469804,11.74345041,4927.900145,89.60562377,2112,279.3417625,0.037573741,0.009623408,0.145251617,1.289618129,0.166846947,-0.619859825,5.829874507,114.3262514,5.975534598,4.811467034,0.05673041,0.220100565,0.433044499,0.172599784,0.755667506,6.350391052,0,0,1.519503757,5.165664971,13.53904282,1.708161534,2.299631007,2.853881435,2357,4,0,0.010169625,2,NA,Non-reference,NOT STUDY AREA
105CR0906,41.5481,-123.5254,105,Siskiyou,Other,4439804,NC,1,25095.2139,41.54808466,-123.5253606,198,4105,146041.4063,11.85590294,744.0932205,12.05815955,4909.065292,88.12226261,2093.399902,278.4094009,0.038111392,0.009512229,0.146694339,1.271604756,0.167290684,-0.602697825,5.974734436,111.2036473,6.010542122,4.860981983,0.057634267,0.228536811,0.469197435,0.605925596,0.132450331,6.918790997,0,0,1.486760788,4.499888617,10.66225166,1.775471712,1.350563064,0.655270604,2265,1,0,0.010498257,2,NA,Non-reference,NOT STUDY AREA
105CR0908,41.4462,-123.9333,105,Humboldt,Other,4442414,NC,1,36710.3502,41.44633508,-123.9336396,11,4292,188550,12.59966937,1030.31835,10.99287201,4781.587329,91.59669021,1777.699951,283.9349656,0.036330675,0.011301284,0.146487778,1.332136413,0.168170085,-0.67888833,5.124140495,116.0562581,5.57743014,5.221897936,0.057405956,0.193464064,0.361658767,0.02282063,0,4.739000283,0,0,1.759562893,0.77101128,0,1.901251083,3.35174526,3.767414211,4624,7,0,0.008476337,0,NA,Non-reference,NOT STUDY AREA
105CR0913,41.844,-122.8934,105,Siskiyou,Other,362143,NC,1,20691.4401,41.84362931,-122.8936586,520,3783,54323.10156,11.57094234,613.9514617,12.3864366,4869.880508,87.06240981,1735.300049,275.8439807,0.039554096,0.009484282,0.151524563,1.233366909,0.16715665,-0.582837549,6.449156981,107.7040339,6.222750131,4.177649191,0.05484221,0.251457868,0.536182593,0.210768977,0.867579909,7.799107709,0.27498765,0,1.148244389,6.714967891,9.680365297,1.798733051,2.637262186,2.131382612,1904,16,2,0.025487433,1,NA,Non-reference,NOT STUDY AREA
105CR1004,41.2755,-123.6008,105,Humboldt,Forest,4442642,NC,1,27547.5501,41.27540622,-123.6007504,96,4207,119299.1016,12.15464998,823.6989425,11.73347812,4923.415476,89.88231898,2136.899902,279.633457,0.037531376,0.009645805,0.145179359,1.291104081,0.167143613,-0.625387123,5.800741694,114.3767035,5.947104481,4.810592545,0.05684659,0.219321378,0.431767252,0.684761728,1.219512195,6.302866838,0,0,1.526565152,5.877796369,8.857509628,1.715256952,3.673997157,1.732894473,2371,6,0,0.009435891,2,NA,Non-reference,NOT STUDY AREA
105FCA010,42.001220000000004,-122.76609,105,SisKiyou,Forest,359295,NC,1,25.07254113,42.000834,-122.766066,1066,1218,63236.69922,14.87012987,889.1186441,13.5,5959.85006,107.8831169,1469.400024,246.3333333,0.031097333,0.008326807,0.119456956,1.529335229,0.191947572,-1.589459395,4.288534674,193.0067395,6.358344607,3.414685018,0.043848301,0.258881586,1.295857563,0.274947437,0,0,0,0,4.339866466,3.736050461,2.055921053,2.46250876,2.353682071,1.308422273,0,0,0,0,0,NA,Non-reference,NOT STUDY AREA
106HLCACC,41.01605,-123.59623,106,Humboldt,Forest,8241296,NC,1,96.1434,41.01599557,-123.5960935,166,1741,146212.0938,17.14478114,2022.853881,10.9137931,4649.430567,118.7407407,2138.699951,299.137931,0.032559482,0.014565334,0.143847719,1.443851483,0.189952933,-1.028178642,2.782585965,163.5640918,4.465167154,2.834038547,0.053223766,0.170444101,0,0,0,0,0,0,0.699267968,1.853907638,5.774016924,1.187335535,2.351944036,3.404215733,0,0,0,0,0,0.14,Non-reference,NOT STUDY AREA
106PS0206,40.5401,-122.9348,106,Trinity,Forest,8246052,NC,1,103.4739,40.54019584,-122.9350317,669,1275,103007.3984,9.661341853,1069.630705,4.722222222,2901.646099,68.66134185,1964.800049,291.4285714,0.033621429,0.021246448,0.169943267,1.492211159,0.145945156,-0.881215141,3.690207849,119.6986004,5.324710891,3.463079509,0.048178484,0.064788771,8.69785e-4,0,0,0,0,0,1.882213776,1.265014797,3.047989624,2.930311049,2.341104903,4.974206992,25,2,0,0,0,0,Non-reference,NOT STUDY AREA
108FCA013,41.08977,-124.08483,108,Humboldt,Forest,8315767,NC,1,8.711525216,41.090128,-124.085761,138,318,152682,16,1771.944444,7.222222222,4195.941711,112.4230769,1689.900024,224.1111111,0.033555746,0.017995532,0.156101683,1.38638229,0.217069771,-0.489970949,1.595916659,91.31111067,2.994411836,3.393806954,0.052607121,0.130415418,0,0,0,0,0,0,0,0,0,4.604182693,4.604182693,3.502921321,2,2,1,0,1,NA,Non-reference,NOT STUDY AREA
111CR0911,40.3096,-123.7626,111,Humboldt,Other,2706287,NC,1,5761.7325,40.30961826,-123.7624833,48,2264,132549.0938,14.47243961,1475.702491,2.184726225,2266.442795,93.208209,2042.5,304.4361671,0.034086575,0.034304036,0.207397704,1.483140494,0.190078831,-0.556511198,2.323810924,96.74343243,3.571550162,3.729299156,0.08115452,0.114701694,0.082709498,0.019815059,0,0.899557555,0,0,2.926635348,2.826948481,0,1.949853388,2.64214177,1.146591881,586,0,0,0.010983763,0,NA,Non-reference,NOT STUDY AREA
111SF1944,40.21684,-123.79095,111,Humboldt,Other,8286788,NC,1,1427.3244,40.21649501,-123.7900959,62,1224,131175.2969,15.47125653,1931.100552,2.923121724,2807.969081,101.8591229,2051.199951,286.0419336,0.034225932,0.032792857,0.20359975,1.482549913,0.203865419,-0.653461001,3.392846198,84.87444445,2.853041206,2.932817466,0.057208095,0.129415359,0.259282333,0.53366715,1.741884402,0.070054152,0,0,4.441029664,6.002108315,18.68566904,2.341939711,3.177339199,4.935724107,272,5,0,0.015258772,0,NA,Non-reference,NOT STUDY AREA
113GAR023,38.90736,-123.48229,113,Mendocino,Forest,2666273,NC,1,21.4137,38.90730023,-123.4823152,124,580,112045.7969,12.64179104,1391.96,3.5,1243.285022,78.208955220000007,2144.600098,309.8076923,0.033084802,0.037670129,0.213001687,1.485611732,0.215125499,-0.664150258,2.473057566,81.13580896,3.105945408,2.071939984,0.049595706,0.141184586,0,0,0,0,0,0,3.543058883,4.066778349,0,4.011492366,4.277623623,2.691534183,6,6,0,0,0,NA,Non-reference,NOT STUDY AREA
113GAR042,38.874568,-123.524799,113,Mendocino,Forest,2666345,NC,1,162.2196,38.8747124,-123.5248435,82,744,118543.3984,12.68336673,1391.208556,3.203045685,1285.754028,79.53306613,2041.800049,305.5736041,0.033065997,0.037663208,0.212912001,1.487651915,0.208397015,-0.681606196,3.378017837,81.17599982,3.129585279,1.99017423,0.049681892,0.141002022,0.013870087,0.046419868,0,0,0,0,3.007034908,3.455378902,0,3.420423511,3.828408721,4.990437968,23,2,0,0,0,NA,Non-reference,NOT STUDY AREA
114GV3469,38.46384,-122.90424,114,Sonoma,Other,8273219,NC,1,88.0308,38.46394613,-122.9040555,23,258,106723.3984,10.78021978,1105.539216,1.173076923,1044.99852,68.32234432,2190.5,281.9423077,0.038096275,0.043393009,0.247238119,1.550728889,0.280908298,-0.815620651,2.613399495,66.582793,2.039180654,3.095412822,0.079812039,0.127282353,3.504682452,3.84488215,0.357142857,5.154786734,7.751169052,0.05952381,10.26970106,10.10580511,4.464285714,3.698776404,3.681808912,2.064450988,49,17,0,0,2,NA,Non-reference,NOT STUDY AREA
114GV5331,38.44469,-122.88773,114,Sonoma,Other,8273271,NC,1,26.226,38.4446767,-122.8877538,29,244,98214.10156,11,1201.474576,1.4,1149.04046,69.56097561,2221.899902,282.0666667,0.03743055,0.0426634,0.24277799,1.536568042,0.25370276,-0.842702277,3.254500076,74.49042633,3.132479355,6.068855355,0.076478473,0.125731754,0.343170899,0.327918859,1.300954033,1.537405628,1.708228476,12.66261925,6.66781057,6.367726683,9.106678231,3.126036091,3.118859332,1.888759545,12,12,1,0,2,NA,Non-reference,NOT STUDY AREA
114MRCURX,39.06208,-123.08219,114,Mendocino,Other,8268635,CH,1,1.4355,39.06195788,-123.0834536,787,240,110102.7969,13,1246,0,1363.300049,83.66666667,2062.5,297,0.032926365,0.037691701,0.212313835,1.506999969,0.210999995,-0.854405815,1.914000034,100.5294059,2.860493949,9.888946615,0.077608756,0.102066553,0.188087774,0.188087774,0,0,0,0,8.401253919,8.401253919,6.61641541,3.279042844,3.279042844,2.731389715,0,0,0,0,0,0,Non-reference,NOT STUDY AREA
114MW8747,38.52074,-122.62527,114,Sonoma,Forest,8272511,CH,1,15.3882,38.52074529,-122.6252493,277,445,111468.2031,12.36170213,1234.222222,2.058823529,1341.833305,81.82978723,2176.399902,290,0.042256575,0.048712391,0.277003473,1.440750553,0.1998983,-0.306166384,2.348545438,102.8018928,3.74188062,1.809066291,0.020050015,0.100248643,0.005848637,0.006352433,0.080128205,0,0,0,4.357234764,3.811459789,6.891025641,2.877510192,2.68050605,3.635406536,4,4,0,0,0,NA,Non-reference,NOT STUDY AREA
115SC6093,38.35614,-122.9263,115,Sonoma,Other,3880284,CH,1,21.4767,38.35612748,-122.926292,48,294,112123.6016,10.5,1251.686275,1.888888889,1248.898554,64.55882353,2086.300049,267.6666667,0.03795978,0.043101564,0.245961864,1.518753665,0.261152682,-0.906773691,3.081674231,64.80159196,5.897092325,5.339708793,0.086992771,0.08817419,0.473536437,0.559190958,0.895140665,0,0,0,6.667225412,5.401546698,3.708439898,2.540445624,2.134349647,1.732684324,9,4,1,0,0,NA,Non-reference,NOT STUDY AREA
202MIC150,37.45232,-122.39242,202,San Mateo,Forest,17687849,CH,2,13.38,37.452,-122.392,84,476,83341.20313,12.77778,940.25,2.545455,1491,81.07407,1939,248,0.04564252,0.0439169,0.2783618,1.44,0.25,-0.78,1.54,65.80206,12.09,4.7,0.94,0.12,0.02138351,0.02138351,0,0.5666631,0.5666631,3.191489,2.715706,2.715706,1.795213,1.845896853,1.845896864,0.821398895,1,1,1,0,0,NA,Non-reference,NOT STUDY AREA
202TUN600,37.39083,-122.36826,202,San Mateo,Forest,17688283,CH,2,14.09,37.391,-122.368,93,564,72121.5,12.80769,922.2,2.909091,1524,81,1842,240.4545,0.04535146,0.04278038,0.2744127,1.46,0.2,-0.76,3.17,67.15178,7.19,3.09,0.89,0.13,0,0,0,0,0,0,6.336172,6.336172,6.043956,4.006070717,4.006070752,3.218431987,0,0,0,0,1,NA,Non-reference,NOT STUDY AREA
204ALA320,37.59352,-121.90051,204,Alameda,Forest,2808563,CH,2,1607.1705,37.59350519,-121.900542,66,1256,48321.10156,9.177979798,556.8043716,0.411277807,578.4787373,55.16262626,2163.899902,300.2907398,0.046784863,0.04252269,0.281720765,1.502332473,0.281192496,-0.261393628,2.500003173,71.33958829,5.4407209,3.434908815,0.269847429,0.078204821,9.471117097,9.608013492,19.38724259,1.284449907,0.688233591,0,5.127999798,12.82090595,11.65243596,2.143365991,2.80048933,2.608893144,972,82,1,0.194608843,5,NA,Non-reference,NOT STUDY AREA
204ALA382,37.54192,-121.85851,204,Alameda,Other,2806865,CH,2,385.6482,37.54179858,-121.858581,92,1230,47470.5,10.01428571,622.7947548,0.639308855,723.6312855,58.50252101,2154.800049,285.0583153,0.045352827,0.038635439,0.266908617,1.523014235,0.28622872,-0.723901305,3.022048374,96.13543562,4.928474086,3.929384528,0.182543041,0.058918836,0.098250167,1.077322188,13.25966851,0.05764321,0,0,2.257420105,3.768826115,9.330877839,0.634546867,1.814574532,2.07240352,50,15,2,0.153291015,1,NA,Non-reference,NOT STUDY AREA
204ALA396,37.52561,-121.84655,204,Alameda,Other,2808603,CH,2,373.9716,37.52552379,-121.8463524,108,1214,48363.10156,10.01561145,623.5633803,0.651785714,728.8940951,58.51170859,2110.5,285.2254464,0.045305068,0.038483062,0.266392863,1.522797082,0.285779948,-0.723726713,3.067065847,96.67838839,4.538022526,3.86896683,0.151763144,0.057528386,0.035617678,0.103771347,0.727994705,0.059443017,0,0,2.203482831,3.821750474,8.074123097,0.607912311,1.868561626,1.778149571,43,14,3,0.226807895,1,NA,Non-reference,NOT STUDY AREA
204ALA410,37.50866,-121.82924,204,Alameda,Other,2806979,CH,2,361.1862,37.50844405,-121.8291516,128,1194,59287.39844,10.00089606,623.9647202,0.648148148,732.9191293,58.47043011,2102.899902,285.9328704,0.045257671,0.038331131,0.265882424,1.522853633,0.28579619,-0.720249104,3.099470985,97.5266328,4.19520737,3.816711883,0.12507778,0.057392667,0.03089819,0.045722646,0.200133422,0.061547202,0,0,2.156893037,3.52521604,10.1400934,0.551652012,1.306116547,1.924392761,35,11,2,0.497612138,0,NA,Non-reference,NOT STUDY AREA
204FCA016,37.32865,-121.6745,204,Santa Clara,Other,2810225,CH,2,46.00769493,37.328927,-121.675018,645,668,58180,10,671.6407767,0.927272727,794.74752350000006,57.93661972,1978.400024,275.5454545,0.044227164,0.035363821,0.255772743,1.530456303,0.281134809,-0.675297856,3.414724013,101.7499161,3.363109112,3.004709005,0.057186998,0.090052276,0.06454389,0.132315522,0.313479624,0,0,0,2.133860116,2.849872774,12.72727273,0.601931241,0.722247146,3.127655585,3,3,2,0,0,NA,Non-reference,NOT STUDY AREA
204SLE150,37.80472,-122.11276,204,Contra Costa,Forest,2803751,CH,2,3.2373,37.80358442,-122.1132171,145,222,65634.70313,10,678.75,0.4,592.9222209,62,2062.899902,265,0.048956689,0.05162827,0.310808178,1.530219197,0.300999999,-0.785690637,1.95599997,77.25328432,7.725076176,2.716523634,0.438741412,0.114761929,1.390047262,1.390047262,2.357765249,0,0,0,4.587155963,4.587155963,7.84213224,2.016928287,2.016928287,2.80358214,4,4,3,0,0,NA,Non-reference,NOT STUDY AREA
206PIN610,37.97275,-122.22828,206,Contra Costa,Forest,1671465,CH,2,19.5255,37.97274103,-122.2282653,76,295,60938.30078,9.189655172,651.2272727,0.458333333,567.9833496,56.4137931,2096,276.25,0.049541176,0.054410447,0.319916436,1.515148816,0.297559581,-0.767882971,1.584888869,66.68833033,17.19740541,6.168382137,1.269201655,0.110882636,0.33648306100000003,0.302280846,0.09310987,0.401014059,0.478153339,0,4.590919567,4.341852157,7.635009311,2.188013928,1.976050904,2.15298298,10,9,0,0,0,NA,Non-reference,NOT STUDY AREA
207SUI070,38.29488,-122.12858,207,Solano,Ag,2784569,CH,2,112.68,38.29495655,-122.1285965,43,815,63176.80078,10.82420749,761.2988506,0.189393939,678.7815753,64.29682997,2354.199951,335.780303,0.051629352,0.059926004,0.341925854,1.444717868,0.318640448,-0.766173068,1.480541718,72.03145818,13.89976548,5.13935124,0.188061328,0.113373201,0.17172524,0.573605198,2.645051195,3.049520767,2.984539547,25.2559727,1.948083067,2.760475017,11.60409556,0.635397395,1.250812878,3.211479749,34,8,3,0.141184988,0,NA,Non-reference,NOT STUDY AREA
207SUL200,38.106682,-122.163909,207,Solano,Other,2785021,CH,2,20.4903,38.10667389,-122.16391,44,298,59807.19922,9.532258065,621.4893617,0,659.8968186,55.51612903,2196.5,286.3043478,0.050736279,0.057557059,0.332458574,1.427456583,0.320128358,-0.86775265,0.367523248,69.87473054,11.23217594,4.442086569,0.315398291,0.12661298000000001,5.859357842,2.754418038,3.20855615,0,0,0,5.196117187,2.321755027,0.993124523,1.356498802,0.762899284,0.861343303,7,3,0,0,0,NA,Non-reference,NOT STUDY AREA
207WHC634,38.27053,-122.1737,207,Solano,Forest,2784617,CH,2,11.6379,38.27058026,-122.1734338,81,570,62430.89844,11.09090909,863.7777778,0.266666667,799.6128164,64.84848485,2314.300049,328.8,0.051204463,0.05913843,0.338271552,1.215000033,0.191,-0.27854225,2.743999958,104.8814087,3.779661894,1.829156041,0.019962,0.150536203,0.07733354,0.081187659,0.776053215,0,0,0,1.755471348,0.545117142,5.099778271,0.526589985,0.173349184,0.450976785,0,0,0,0.438774822,0,NA,Non-reference,NOT STUDY AREA
309ANT,35.896529,-121.088866,309,Monterey,Other,8210405,CH,3,301.9095,35.98424061,-121.2386022,301,1487,47842,10.27909483,736.8427128,0.032786885,387.4953616,55.5,2527.300049,328.8879781,0.041761953,0.024890342,0.227957667,1.55278705,0.1960691,-0.855392591,4.919175915,95.0616137,8.680699942,3.680626858,0.558255132,0.128850908,0.122520159,1.673018859,0,0.077804773,0,0,3.175090549,9.132307083,5.318221447,1.172873687,2.835972637,1.765275502,52,13,1,0,0,NA,Non-reference,NOT STUDY AREA
310AGS,35.12777598,-120.556479,310,San Luis Obispo,Other,8193677,CH,3,257.7456,35.12743586,-120.5580145,44,920,42697.69922,7.518147685,594.3543441,0,391.090746,42.05506884,2066.600098,283.2275641,0.055645492,0.023805825,0.264034865,1.480201405,0.172533306,-0.722891126,2.100928925,67.95376902,15.25088281,5.664403726,1.093226021,0.110252906,0.218936812,2.204379562,11.78977273,3.734496341,30.90997567,23.01136364,3.038926756,14.65693431,19.31818182,0.820287068,2.545622063,3.309266218,116,20,0,0.189683874,0,NA,Non-reference,NOT STUDY AREA
312CAV,34.68818598,-119.357903,312,Ventura,Other,17637968,CH,3,226.8558,34.68766021,-119.3598381,1072,1203,35352.80078,4.816355811,607.8123791,0.485507246,583.5973767,28.19655667,2211.5,316.923913,0.061475486,0.027585391,0.346679081,1.528037448,0.263384102,-0.602479776,2.199511224,73.51338859,3.154419111,1.366379671,0.686787409,0.125266675,0.060699352,0.105042017,0,1.352841761,13.34437621,22.40506329,0.977140545,2.565449257,4.683544304,0.161856952,0.497068398,0.511126027,23,7,1,0,0,NA,Non-reference,NOT STUDY AREA
313SAB,34.75588998,-120.347955,313,Santa Barbara,Ag,17620132,CH,3,168.6006,34.75573534,-120.3491997,130,464,38775.80078,7.036608863,482.1558442,0,284.2822494,39.76878613,2277.100098,270.0049261,0.061533377,0.025366265,0.302288243,1.475208503,0.237786068,-0.476733207,3.876711923,65.29572092,6.965745992,2.738716447,0.427822945,0.119443558,0.434518027,0.203966361,0.287631831,12.62611165,26.7321451,47.84276127,5.45015854,5.814610267,12.5599233,1.250004373,1.499946163,3.845031125,48,13,2,0,0,NA,Non-reference,NOT STUDY AREA
403M01505,34.41709,-118.92546,403,Ventura,Other,17574589,SC,4,670.6782,34.41709,-118.9255,148,2127,44010.7,6.227536,669.2115,0.008706468,432.7569,35.1401,2464.8,304.755,0.06020886,0.02846306,0.3576711,1.534135,0.2653915,-0.7689828,3.09789,76.8617,5.745703,2.320949,1.07202,0.1274762,0.06655324,1.1495,7.27003,0.5038456,12.20613,40.80119,1.20829,5.8643980000000004,18.9911,0.372158375,1.993660008,4.305994456,106,33,2,0,0,2.07,Non-reference,NOT STUDY AREA
403M01506,34.39739,-118.79347,403,Ventura,Other,17575737,SC,4,2816.995,34.39739,-118.7935,192,2499,41810,5.839475,498.1987,0.22100910000000001,510.1526,33.40891,2472,319.0018,0.05714164,0.02989701,0.3698308,1.564011,0.2307053,-0.927093,6.044241,105.9335,5.443829,2.431631,0.2602828,0.1362499,4.068234,1.519211,1.963534,0.6822988,18.331,49.36886,5.109094,5.355294,4.347826,1.389929924,1.932018095,1.610315823,1393,44,2,0.09576222,0,0.06,Non-reference,NOT STUDY AREA
403M05757,34.54518,-118.43467,403,Los Angeles,Other,17570253,SC,4,50.8599,34.54518,-118.4347,676,841,44408.1,5.753165,467.661,0.4918033,615.4404,33.53797,2363.6,312.5574,0.05540647,0.0307728,0.3769901,1.567164,0.2293746,-1.354585,3.79394,102.0569,6.095622,4.976637,0.08692831,0.1656561,0.0902591,0.006687174,0.0524659,0,0,0,4.835056,4.105925,5.141658,1.001670282,0.615446868,0.453643181,2,1,1,0,0,3.31,Non-reference,NOT STUDY AREA
403M05771,34.69939,-118.79476,403,Los Angeles,Other,17572225,SC,4,145.3215,34.69939,-118.7948,826,1616,29654.3,5.391499,392.1532,0.9655172,476.4399,32.02237,2203,316.2299,0.06011591,0.02857858,0.3589316,1.547466,0.2521454,-0.7674723,5.37649,95.42412,3.860033,1.353468,0.09104467,0.1215437,1.16606,1.53431,8.276386,0,0,0,3.407149,4.525829,14.65452,1.019858781,1.324797997,3.654591733,70,15,3,0,0,0,Non-reference,NOT STUDY AREA
403R4S117,34.58739,-118.45116,403,Los Angeles,Other,17572289,SC,4,46.8963,34.58697,-118.4526,640,769,43266.9,6,493.7407,0.1186441,645.1014,36.25,2391.2,320.2712,0.05604893,0.03049365,0.3751235,1.623863,0.1899214,-1.44245,6.898626,148.2384,4.393004,1.656348,0.04325028,0.1368379,0.3013031,0.08838802,0.9761388,0,0,0,7.167943,5.14492,15.61822,1.342813817,0.837624363,3.067102713,34,13,0,0,0,NA,Non-reference,NOT STUDY AREA
404ARRSEQ,34.08506,-118.91206,404,Los Angeles,Other,20365007,SC,4,8.7759,34.08482915,-118.9117522,158,599,47808.69922,4.892857143,538.1666667,0.230769231,371.6999939,26.71428571,2401.800049,309.3076923,0.057623983,0.030308344,0.374445922,1.520803846,0.205644558,-0.579658273,1.361736812,113.3106983,7.724027115,4.496762005,0.039395551,0.297900281,0.430725054,0.430725054,0.066006601,0,0,0,8.194031381,8.194031381,7.392739274,2.710503859,2.710503859,1.245086274,6,6,0,0,0,0.1,Non-reference,NOT STUDY AREA
404R4S070,34.042,-118.89747,404,Los Angeles,Other,20365129,SC,4,3.8448,34.04201,-118.8975,27,475,37798.4,4.166667,488.3333,0,341.6833,22.5,2210.5,295.6,0.05767386,0.03034059,0.3748018,1.502548,0.277469,-0.6306944,1.69525,98.34861,12.30999,5.406845,0.6082151,0.2117486,1.404494,1.404494,7.198444,0,0,0,19.70974,19.70974,26.26459,4.682192289,4.682192299,3.70271918,7,7,1,0,0,NA,Non-reference,NOT STUDY AREA
